"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Shane Bieber","CLE","15.00","0.75","20.00","0.00","44.4%","2.2%","42.2%",".227","0.92",".417","100.0%","0","0","13","0.00","0.08","-0.08","0.59","1.34","19427","669456"
"Sean Reynolds","SDP","17.18","4.09","4.20","0.00","42.9%","10.2%","32.7%",".233","1.36",".455","93.8%","21","26","59","0.82","0.98","-0.17","2.36","2.03","22253","669308"
"Erik Sabrowski","CLE","13.50","2.84","4.75","0.00","40.4%","8.5%","31.9%",".140","0.79",".250","100.0%","0","26","64","0.00","1.11","-1.11","2.67","2.15","24978","681870"
"Nick Pratto","KCR","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","27","65","0.00","1.17","-1.17","2.68","2.73","22117","668472"
"Marc Church","TEX","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","27","65","0.00","1.17","-1.17","2.68","2.73","26353","687847"
"Mason Montgomery","TBR","15.83","4.66","3.40","0.00","45.9%","13.5%","32.4%",".188","1.14",".400","81.8%","48","29","44","1.86","1.20","0.66","1.83","2.22","29770","682254"
"Clayton Beeter","NYY","12.27","2.45","5.00","0.00","33.3%","6.7%","26.7%",".286","1.36",".444","60.0%","123","29","60","4.91","1.26","3.65","2.49","2.48","27494","690925"
"Drew Rasmussen","TBR","10.99","1.88","5.83","0.00","30.2%","5.2%","25.0%",".227","1.08",".333","67.7%","73","33","62","2.83","1.35","1.47","2.57","2.55","25385","656876"
"Cade Smith","CLE","12.31","2.03","6.06","0.12","35.6%","5.9%","29.8%",".190","0.90",".303","79.0%","48","33","58","1.91","1.40","0.51","2.41","2.16","27867","671922"
"Justin Topa","MIN","7.71","0.00","2.00","0.00","25.0%","0.0%","25.0%",".125","0.43",".167","100.0%","0","34","67","0.00","1.45","-1.45","2.75","2.52","15145","623437"
"Gavin Hollowell","CHC","6.75","0.00","1.00","0.00","16.7%","0.0%","16.7%",".333","1.50",".400","100.0%","0","43","42","0.00","1.67","-1.67","1.67","0.56","25427","668970"
"Edwin Uceta","TBR","12.31","1.73","7.13","0.43","35.8%","5.0%","30.8%",".173","0.82",".264","83.9%","39","42","60","1.51","1.70","-0.19","2.49","2.10","20539","670955"
"Ben Casparius","LAD","12.96","4.32","3.00","0.00","32.4%","10.8%","21.6%",".273","1.56",".429","76.9%","53","42","83","2.16","1.73","0.43","3.36","3.12","30085","676508"
"Steven Cruz","KCR","6.35","0.00","4.00","0.00","22.2%","0.0%","22.2%",".056","0.18",".071","100.0%","0","42","82","0.00","1.75","-1.75","3.36","3.04","23165","674444"
"Nick Nelson","PHI","13.50","3.38","4.00","0.00","30.8%","7.7%","23.1%",".348","1.88",".533","72.7%","121","46","95","5.06","1.85","3.21","3.84","2.90","20153","656793"
"Brooks Raley","NYM","11.57","3.86","3.00","0.00","36.0%","12.0%","24.0%",".091","0.71",".154","100.0%","0","48","89","0.00","1.88","-1.88","3.61","2.97","10061","548384"
"Justin Sterner","TBR","9.00","2.25","4.00","0.00","21.1%","5.3%","15.8%",".278","1.50",".357","66.7%","58","47","112","2.25","1.92","0.33","4.56","3.72","27694","686993"
"Griffin Jax","MIN","12.04","1.90","6.33","0.51","34.4%","5.4%","29.0%",".181","0.87",".269","77.1%","50","46","56","2.03","1.94","0.09","2.32","2.15","20253","643377"
"Josh Winder","MIN","10.00","1.00","10.00","0.00","26.3%","2.6%","23.7%",".200","0.89",".280","60.0%","74","47","101","3.00","1.94","1.06","4.13","2.90","24606","680739"
"Kris Bubic","KCR","11.57","1.48","7.80","0.59","32.2%","4.1%","28.1%",".224","1.02",".320","67.4%","64","47","49","2.67","1.95","0.72","2.04","2.09","21455","663460"
"Luis Guerrero","BOS","8.10","1.80","4.50","0.00","25.0%","5.6%","19.4%",".176","0.80",".240","87.5%","0","47","88","0.00","1.97","-1.97","3.63","3.25","31184","692285"
"Edgardo Henriquez","LAD","13.50","5.40","2.50","0.00","35.7%","14.3%","21.4%",".167","1.20",".286","75.0%","66","48","93","2.70","1.97","0.73","3.78","3.22","26944","683618"
"Devin Williams","MIL","15.78","4.57","3.45","0.42","43.2%","12.5%","30.7%",".133","0.97",".250","92.6%","30","51","61","1.25","2.06","-0.81","2.44","2.31","15816","642207"
"Jeremiah Estrada","SDP","13.87","3.39","4.09","0.59","37.3%","9.1%","28.2%",".183","1.07",".290","72.4%","74","52","66","2.95","2.07","0.88","2.65","2.39","22210","669093"
"Brusdar Graterol","LAD","8.59","2.45","3.50","0.00","25.9%","7.4%","18.5%",".120","0.68",".167","60.0%","60","50","77","2.45","2.08","0.38","3.11","3.20","20367","660813"
"Chris Sale","ATL","11.40","1.98","5.77","0.46","32.1%","5.6%","26.5%",".215","1.01",".314","79.8%","57","53","66","2.38","2.09","0.30","2.64","2.80","10603","519242"
"Daysbel Hernandez","ATL","13.00","5.00","2.60","0.00","35.1%","13.5%","21.6%",".159","1.11",".270","71.4%","60","54","85","2.50","2.11","0.39","3.45","3.15","20271","678226"
"Luis Contreras","HOU","9.00","3.00","3.00","0.00","23.1%","7.7%","15.4%",".292","1.50",".389","33.3%","225","52","96","9.00","2.17","6.83","3.93","3.72","25839","664351"
"Mason Miller","OAK","14.40","2.91","4.95","0.83","41.8%","8.4%","33.3%",".159","0.88",".256","70.6%","64","54","53","2.49","2.18","0.31","2.21","1.91","31757","695243"
"Dedniel Nunez","NYM","12.34","2.06","6.00","0.77","35.6%","5.9%","29.6%",".189","0.91",".276","75.5%","58","56","58","2.31","2.22","0.09","2.32","2.13","23055","673380"
"Emmanuel Clase","CLE","7.99","1.21","6.60","0.24","24.4%","3.7%","20.7%",".151","0.66",".195","85.1%","15","54","68","0.61","2.22","-1.62","2.81","2.64","21032","661403"
"Aaron Bummer","ATL","11.22","2.93","3.83","0.33","28.3%","7.4%","20.9%",".272","1.43",".386","72.9%","86","57","63","3.58","2.23","1.35","2.52","2.64","16258","607481"
"Alek Jacob","SDP","11.66","1.23","9.50","0.61","33.3%","3.5%","29.8%",".170","0.75",".242","77.6%","62","57","73","2.45","2.28","0.17","2.94","2.24","29628","689690"
"Matt Strahm","PHI","11.35","1.58","7.18","0.57","33.3%","4.6%","28.7%",".164","0.75",".234","82.3%","45","56","78","1.87","2.29","-0.42","3.15","2.37","13799","621381"
"Jacob deGrom","TEX","11.81","0.84","14.00","0.84","31.8%","2.3%","29.5%",".262","1.13",".370","94.8%","43","56","68","1.69","2.32","-0.64","2.80","2.59","10954","594798"
"Joe Jimenez","ATL","10.75","3.01","3.57","0.26","29.6%","8.3%","21.3%",".180","0.99",".259","72.3%","63","59","87","2.62","2.34","0.28","3.52","3.04","15761","641729"
"Gregory Santos","SEA","7.36","1.23","6.00","0.00","19.4%","3.2%","16.1%",".241","1.09",".304","55.6%","131","59","82","4.91","2.35","2.56","3.38","3.03","21894","666619"
"Robert Garcia","WSN","11.31","2.41","4.69","0.60","29.9%","6.4%","23.5%",".235","1.19",".329","57.2%","102","59","69","4.22","2.38","1.84","2.77","2.71","23363","676395"
"Ryan Helsley","STL","10.72","3.12","3.43","0.41","29.7%","8.6%","21.1%",".206","1.10",".292","78.5%","50","61","83","2.04","2.41","-0.38","3.35","3.08","18138","664854"
"Jonathan Loaisiga","NYY","6.75","2.25","3.00","0.00","15.0%","5.0%","10.0%",".368","2.00",".438","100.0%","0","57","77","0.00","2.42","-2.42","3.17","3.32","19753","642528"
"Orion Kerkering","PHI","10.57","2.43","4.35","0.29","28.8%","6.6%","22.2%",".220","1.08",".314","76.5%","55","59","73","2.29","2.42","-0.13","2.94","2.71","31776","689147"
"Blake Snell","SFG","12.55","3.81","3.30","0.52","34.7%","10.5%","24.2%",".174","1.05",".266","70.9%","77","63","75","3.12","2.43","0.69","3.01","3.16","13543","605483"
"Paul Skenes","PIT","11.50","2.17","5.31","0.68","33.1%","6.2%","26.8%",".197","0.95",".284","85.6%","47","61","63","1.96","2.44","-0.48","2.54","2.71","33677","694973"
"Ryan Zeferjahn","LAA","9.53","3.18","3.00","0.00","28.1%","9.4%","18.8%",".125","0.76",".184","73.3%","52","59","101","2.12","2.46","-0.34","4.15","3.37","25420","666171"
"Tarik Skubal","DET","10.69","1.64","6.51","0.70","30.3%","4.6%","25.6%",".200","0.92",".273","80.0%","59","60","68","2.39","2.49","-0.10","2.83","2.89","22267","669373"
"Calvin Faucher","MIA","10.57","4.36","2.42","0.00","26.8%","11.1%","15.7%",".239","1.40",".345","68.4%","76","62","93","3.19","2.50","0.69","3.76","3.61","20116","676534"
"Kirby Yates","TEX","12.41","4.09","3.04","0.44","35.9%","11.8%","24.1%",".111","0.83",".168","88.1%","29","60","76","1.17","2.50","-1.33","3.12","2.85","9073","489446"
"Kyle Bradish","BAL","12.13","3.43","3.53","0.46","32.5%","9.2%","23.3%",".186","1.07",".278","78.2%","69","61","71","2.75","2.51","0.24","2.92","3.09","24586","680694"
"Joe Mantiply","ARI","7.99","2.72","2.94","0.15","21.8%","7.4%","14.4%",".231","1.17",".298","62.7%","94","65","92","3.92","2.51","1.41","3.71","3.60","14857","573009"
"Ryan Walker","SFG","11.14","2.03","5.50","0.56","32.1%","5.8%","26.3%",".178","0.85",".254","82.9%","48","65","69","1.91","2.52","-0.60","2.80","2.45","20423","676254"
"Jeff Hoffman","PHI","12.08","2.17","5.56","0.81","33.6%","6.0%","27.5%",".195","0.96",".278","80.2%","52","62","69","2.17","2.52","-0.35","2.80","2.39","17432","656546"
"Lucas Erceg","- - -","10.51","2.34","4.50","0.44","28.5%","6.3%","22.1%",".212","1.05",".295","67.4%","85","63","75","3.36","2.53","0.82","3.10","2.83","19360","668674"
"Michael McGreevy","STL","7.04","0.78","9.00","0.39","20.9%","2.3%","18.6%",".193","0.78",".234","79.5%","48","65","67","1.96","2.56","-0.60","2.72","2.77","29869","700241"
"Declan Cronin","MIA","9.21","3.20","2.88","0.13","23.5%","8.2%","15.4%",".272","1.42",".365","61.8%","104","64","85","4.35","2.58","1.77","3.43","3.28","25645","686539"
"Justin Martinez","ARI","11.27","4.46","2.53","0.25","29.5%","11.7%","17.9%",".219","1.31",".322","75.4%","59","67","71","2.48","2.59","-0.11","2.88","3.14","24453","679885"
"Sean Guenther","DET","5.14","0.86","6.00","0.00","16.4%","2.7%","13.7%",".130","0.52",".158","84.6%","21","63","91","0.86","2.60","-1.74","3.75","3.24","20045","674944"
"Luis Peralta","COL","10.22","3.65","2.80","0.00","28.6%","10.2%","18.4%",".167","0.97",".250","92.9%","16","61","100","0.73","2.60","-1.87","4.07","3.42","24203","678821"
"Justin Slaten","BOS","9.43","1.46","6.44","0.65","25.9%","4.0%","21.9%",".221","1.01",".285","70.6%","70","63","70","2.93","2.61","0.32","2.90","2.76","25648","686580"
"Yoshinobu Yamamoto","LAD","10.50","2.20","4.77","0.70","28.5%","6.0%","22.6%",".226","1.11",".305","75.7%","73","63","71","3.00","2.61","0.39","2.86","3.14","33825","808967"
"Josh Sborz","TEX","9.37","2.20","4.25","0.55","24.6%","5.8%","18.8%",".246","1.22",".319","64.5%","97","63","80","3.86","2.62","1.24","3.30","3.19","18323","622250"
"Cole Sands","MIN","10.72","1.51","7.08","0.76","29.1%","4.1%","25.0%",".215","1.00",".290","68.5%","81","64","79","3.28","2.63","0.65","3.26","2.68","21461","663485"
"Rob Zastryzny","MIL","5.87","1.17","5.00","0.00","17.2%","3.4%","13.8%",".148","0.65",".182","83.3%","29","66","118","1.17","2.64","-1.47","4.81","4.35","15094","642239"
"Raisel Iglesias","ATL","8.83","1.69","5.23","0.52","26.3%","5.0%","21.2%",".156","0.74",".199","72.3%","47","67","83","1.95","2.65","-0.70","3.38","3.01","17130","628452"
"David Robertson","TEX","12.38","3.38","3.67","0.63","33.4%","9.1%","24.3%",".201","1.11",".300","76.9%","76","64","70","3.00","2.65","0.35","2.88","2.69","8241","502085"
"Ricky Vanasco","- - -","2.25","0.00","1.00","0.00","6.7%","0.0%","6.7%",".200","0.75",".214","0.0%","165","65","84","6.75","2.67","4.08","3.42","3.06","23391","676568"
"Dylan Dodd","ATL","9.00","4.50","2.00","0.00","22.2%","11.1%","11.1%",".500","2.50",".667","60.0%","217","68","84","9.00","2.67","6.33","3.42","3.82","29928","689266"
"Garrett Crochet","CHW","12.88","2.03","6.33","1.11","35.1%","5.5%","29.6%",".221","1.07",".318","73.6%","89","63","57","3.58","2.69","0.89","2.38","2.53","27463","676979"
"Eduard Bazardo","SEA","10.73","2.93","3.67","0.65","30.6%","8.3%","22.2%",".202","1.05",".281","53.4%","130","68","72","4.88","2.70","2.18","2.96","2.81","20997","660825"
"AJ Smith-Shawver","ATL","8.31","4.15","2.00","0.00","22.2%","11.1%","11.1%",".188","1.15",".250","100.0%","0","68","126","0.00","2.70","-2.70","5.15","4.95","29960","700363"
"Bryan King","HOU","10.94","3.42","3.20","0.34","29.4%","9.2%","20.2%",".208","1.14",".302","82.3%","60","66","86","2.39","2.71","-0.32","3.54","3.14","25890","687911"
"Kyle Hurt","LAD","4.05","1.35","3.00","0.00","11.1%","3.7%","7.4%",".308","1.35",".348","77.8%","33","66","100","1.35","2.72","-1.37","4.08","4.73","27514","669165"
"Michel Otanez","OAK","14.56","5.29","2.75","0.53","36.4%","13.2%","23.2%",".211","1.38",".352","74.2%","89","68","82","3.44","2.73","0.72","3.38","2.99","22533","671305"
"Tony Santillan","CIN","13.80","2.70","5.11","1.20","37.7%","7.4%","30.3%",".186","1.00",".270","77.9%","69","65","62","3.00","2.73","0.27","2.51","2.19","19926","663574"
"Porter Hodge","CHC","10.88","3.98","2.74","0.42","31.7%","11.6%","20.1%",".132","0.88",".189","80.1%","47","69","84","1.88","2.75","-0.86","3.41","3.22","26413","687863"
"Jose A. Ferrer","WSN","7.03","1.69","4.17","0.28","19.4%","4.7%","14.7%",".223","1.03",".274","68.5%","82","68","87","3.38","2.76","0.61","3.54","3.27","24017","678606"
"Hunter Bigge","- - -","12.46","2.60","4.80","1.04","32.9%","6.8%","26.0%",".250","1.27",".357","88.5%","66","69","69","2.60","2.76","-0.17","2.83","2.59","26259","685801"
"Chris Martin","BOS","10.15","0.61","16.67","1.02","27.8%","1.7%","26.1%",".270","1.13",".353","67.4%","82","67","63","3.45","2.78","0.67","2.61","2.43","11847","455119"
"Adrian Morejon","SDP","10.04","2.97","3.38","0.57","26.1%","7.7%","18.4%",".252","1.32",".337","76.8%","71","70","82","2.83","2.79","0.04","3.33","3.19","20039","670970"
"Trevor Williams","WSN","7.97","2.43","3.28","0.41","22.7%","6.9%","15.8%",".211","1.04",".267","80.2%","49","69","94","2.03","2.79","-0.77","3.82","3.96","16977","592866"
"Sean Reid-Foley","NYM","10.38","5.82","1.79","0.00","27.8%","15.6%","12.2%",".171","1.25",".255","63.0%","42","70","91","1.66","2.80","-1.14","3.70","3.98","17034","656887"
"Aaron Ashby","MIL","10.48","3.18","3.30","0.64","27.7%","8.4%","19.3%",".183","1.06",".243","62.5%","70","70","71","2.86","2.81","0.05","2.86","3.01","23550","676879"
"Hunter Gaddis","CLE","7.96","1.69","4.71","0.48","23.7%","5.0%","18.7%",".165","0.76",".205","81.2%","39","69","96","1.57","2.82","-1.25","3.94","3.38","25636","683769"
"Will Vest","DET","8.06","2.30","3.50","0.38","21.8%","6.2%","15.6%",".228","1.12",".287","75.8%","70","68","85","2.82","2.83","-0.01","3.47","3.43","19769","676684"
"Danny Coulombe","BAL","9.71","1.52","6.40","0.91","29.9%","4.7%","25.2%",".147","0.67",".179","82.3%","54","69","71","2.12","2.83","-0.71","2.94","2.57","13293","543056"
"Kevin Ginkel","ARI","9.90","1.93","5.13","0.77","26.5%","5.2%","21.3%",".253","1.20",".332","71.2%","77","73","80","3.21","2.85","0.36","3.23","2.97","19876","656464"
