"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Jhoan Duran","MIN","10.93","2.48","4.40","0.66","28.9%","6.6%","22.4%",".232","1.16",".321","61.5%","90","69","65","3.64","2.85","0.79","2.70","2.50","21029","661395"
"Tim Herrin","CLE","9.32","3.43","2.72","0.27","26.5%","9.7%","16.7%",".172","0.97",".236","78.5%","48","70","89","1.92","2.86","-0.94","3.64","3.45","25139","682120"
"A.J. Puk","- - -","11.10","3.53","3.14","0.63","29.9%","9.5%","20.4%",".193","1.11",".269","67.6%","76","72","86","3.15","2.87","0.28","3.47","3.23","19343","640462"
"Tyler Glasnow","LAD","11.28","2.35","4.80","1.01","32.2%","6.7%","25.5%",".189","0.95",".253","69.8%","85","70","67","3.49","2.90","0.59","2.68","2.90","14374","607192"
"Reynaldo Lopez","ATL","9.82","2.79","3.52","0.66","27.3%","7.7%","19.5%",".216","1.11",".287","87.0%","48","74","85","1.99","2.92","-0.93","3.44","3.58","16400","625643"
"Tanner Scott","- - -","10.50","4.50","2.33","0.38","28.6%","12.2%","16.3%",".175","1.13",".247","79.7%","43","72","84","1.75","2.92","-1.17","3.38","3.55","17586","656945"
"Jackson Jobe","DET","4.50","2.25","2.00","0.00","12.5%","6.3%","6.3%",".067","0.50",".077","100.0%","0","71","118","0.00","2.92","-2.92","4.81","4.85","30203","695549"
"Anthony Bender","MIA","10.02","3.06","3.28","0.51","25.9%","7.9%","18.0%",".243","1.28",".326","69.3%","98","72","83","4.08","2.92","1.15","3.36","3.21","19742","669622"
"Anthony Veneziano","- - -","9.45","2.03","4.67","0.68","24.1%","5.2%","19.0%",".296","1.43",".385","69.9%","81","73","96","3.38","2.94","0.43","3.89","3.37","27453","685107"
"Logan Webb","SFG","7.56","2.20","3.44","0.48","20.5%","5.9%","14.5%",".256","1.23",".315","71.7%","86","76","81","3.47","2.95","0.53","3.28","3.61","17995","657277"
"Keegan Akin","BAL","11.10","2.17","5.11","1.03","31.0%","6.1%","24.9%",".188","0.94",".247","71.0%","84","73","79","3.32","2.99","0.33","3.27","2.70","19362","669211"
"Cole Ragans","KCR","10.77","3.24","3.33","0.72","29.3%","8.8%","20.5%",".212","1.14",".290","74.7%","76","73","84","3.14","2.99","0.14","3.46","3.49","21846","666142"
"Blake Treinen","LAD","10.80","2.12","5.09","0.96","30.4%","6.0%","24.5%",".193","0.94",".255","89.7%","47","72","76","1.93","3.00","-1.07","3.06","2.67","12572","595014"
"Cristopher Sanchez","PHI","7.58","2.18","3.48","0.54","20.3%","5.8%","14.5%",".256","1.24",".313","71.2%","79","73","79","3.32","3.00","0.32","3.19","3.58","20778","650911"
"Dylan Lee","ATL","11.46","2.56","4.47","1.06","31.7%","7.1%","24.6%",".220","1.11",".300","83.6%","51","76","78","2.11","3.00","-0.89","3.15","2.73","19996","669276"
"Kenley Jansen","BOS","10.21","3.29","3.10","0.66","28.4%","9.2%","19.3%",".193","1.06",".260","73.0%","79","73","99","3.29","3.00","0.29","4.04","3.42","3096","445276"
"Dennis Santana","- - -","8.67","2.64","3.29","0.50","24.0%","7.3%","16.7%",".218","1.09",".280","64.1%","96","74","97","3.89","3.01","0.88","3.95","3.56","17878","642701"
"Edwin Diaz","NYM","14.09","3.35","4.20","1.17","38.9%","9.3%","29.6%",".187","1.04",".284","73.2%","88","75","64","3.52","3.02","0.50","2.59","2.26","14710","621242"
"Clay Holmes","NYY","9.71","3.14","3.09","0.57","25.1%","8.1%","17.0%",".244","1.30",".322","70.5%","79","72","73","3.14","3.02","0.12","3.01","2.87","13649","605280"
"Jason Adam","- - -","9.90","2.81","3.52","0.61","28.7%","8.2%","20.6%",".158","0.86",".210","79.0%","50","76","87","1.95","3.03","-1.08","3.54","3.10","11861","592094"
"John Schreiber","KCR","8.01","3.48","2.30","0.17","20.5%","8.9%","11.6%",".240","1.32",".307","69.4%","88","74","103","3.66","3.03","0.63","4.21","3.94","20020","670167"
"Ian Hamilton","NYY","9.80","3.35","2.93","0.48","25.2%","8.6%","16.6%",".253","1.35",".340","72.3%","96","72","90","3.82","3.03","0.79","3.71","3.48","19261","641656"
"Brant Hurter","DET","7.54","1.19","6.33","0.79","21.7%","3.4%","18.3%",".201","0.88",".236","78.5%","64","74","81","2.58","3.03","-0.45","3.32","3.19","30133","676428"
"Aroldis Chapman","PIT","14.30","5.69","2.51","0.73","37.0%","14.7%","22.3%",".196","1.35",".322","69.2%","90","75","78","3.79","3.04","0.76","3.14","3.15","10233","547973"
"Connor Gillispie","CLE","9.00","5.63","1.60","0.00","25.0%","15.6%","9.4%",".148","1.13",".211","77.8%","57","75","126","2.25","3.04","-0.79","5.12","4.70","26171","687362"
"Ryan Burr","TOR","12.95","3.31","3.92","1.10","33.6%","8.6%","25.0%",".228","1.26",".329","71.4%","103","74","76","4.13","3.07","1.06","3.15","2.76","17536","621114"
"Ryan Pressly","HOU","9.21","2.86","3.22","0.64","23.8%","7.4%","16.4%",".259","1.34",".333","73.2%","87","76","84","3.49","3.10","0.40","3.43","3.38","7005","519151"
"Dylan Cease","SDP","10.65","3.09","3.45","0.86","29.4%","8.5%","20.9%",".197","1.07",".263","69.4%","87","77","85","3.47","3.10","0.37","3.44","3.46","18525","656302"
"Brenan Hanifee","DET","7.06","1.84","3.83","0.61","19.2%","5.0%","14.2%",".237","1.13",".281","86.1%","46","75","87","1.84","3.10","-1.26","3.55","3.52","22304","669724"
"Rhett Lowder","CIN","6.46","4.11","1.57","0.00","17.2%","10.9%","6.3%",".219","1.27",".272","89.7%","27","73","116","1.17","3.10","-1.93","4.73","5.16","33876","695076"
"Trevor Megill","MIL","9.71","2.72","3.57","0.78","27.3%","7.7%","19.7%",".196","1.01",".254","75.5%","66","77","95","2.72","3.10","-0.38","3.87","3.31","17722","656730"
"Ben Brown","CHC","10.41","3.09","3.37","0.81","28.8%","8.6%","20.3%",".203","1.08",".271","72.2%","88","78","90","3.58","3.11","0.47","3.63","3.43","23590","676962"
"Colten Brewer","CHC","9.58","3.92","2.44","0.44","23.2%","9.5%","13.7%",".282","1.60",".371","55.2%","140","78","104","5.66","3.12","2.54","4.24","3.86","12997","605155"
"Sonny Gray","STL","10.98","2.11","5.21","1.14","30.3%","5.8%","24.4%",".226","1.09",".299","67.9%","95","79","70","3.84","3.12","0.72","2.82","3.03","12768","543243"
"Zack Wheeler","PHI","10.08","2.34","4.31","0.90","28.5%","6.6%","21.9%",".191","0.96",".246","80.1%","61","76","82","2.57","3.13","-0.56","3.30","3.32","10310","554430"
"Gus Varland","- - -","9.23","2.73","3.38","0.68","23.5%","7.0%","16.5%",".283","1.44",".364","74.6%","84","74","95","3.42","3.13","0.29","3.92","3.56","24737","681402"
"Hoby Milner","MIL","8.91","1.95","4.57","0.84","23.9%","5.2%","18.7%",".250","1.19",".313","58.1%","116","77","78","4.73","3.14","1.60","3.15","3.08","13346","571948"
"Jordan Lyles","KCR","5.40","3.60","1.50","0.00","15.8%","10.5%","5.3%",".118","0.80",".143","100.0%","0","77","137","0.00","3.17","-3.17","5.59","5.10","7593","543475"
"Miguel Rojas","LAD","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","76","115","0.00","3.17","-3.17","4.68","5.15","7802","500743"
"Enrique Hernandez","LAD","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".278","1.15",".278","60.0%","101","76","137","4.15","3.17","0.99","5.61","7.05","10472","571771"
"Chasen Shreve","COL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","74","78","0.00","3.17","-3.17","3.17","-1.18","10855","592741"
"Tyler Heineman","TOR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","76","115","0.00","3.17","-3.17","4.68","6.03","13897","623168"
"Wander Suero","HOU","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%","1.000","1.00","1.000","0.0%","0","77","77","0.00","3.17","-3.17","3.17","","15855","593833"
"Jesus Tinoco","- - -","9.30","2.66","3.50","0.66","25.9%","7.4%","18.5%",".184","0.96",".235","71.4%","82","78","92","3.32","3.17","0.15","3.73","3.29","16300","622786"
"Willi Castro","MIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","77","133","0.00","3.17","-3.17","5.43","6.03","17338","650489"
"Sam Hentges","CLE","10.27","1.90","5.40","1.14","29.7%","5.5%","24.2%",".209","0.97",".268","79.8%","77","78","68","3.04","3.17","-0.12","2.80","2.65","18548","656529"
"Miguel Diaz","HOU","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","77","152","0.00","3.17","-3.17","6.19","7.35","18815","622766"
"Danny Mendick","CHW","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","2.00",".500","100.0%","0","75","115","0.00","3.17","-3.17","4.68","3.66","18889","664901"
"Donovan Walton","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","81","188","0.00","3.17","-3.17","7.70","7.74","19314","622268"
"Weston Wilson","PHI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","77","151","0.00","3.17","-3.17","6.19","6.03","19358","642215"
"Ernie Clement","TOR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","225","76","152","9.00","3.17","5.83","6.19","6.03","20352","676391"
"Leo Rivas","SEA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".222","1.00",".222","50.0%","0","80","190","0.00","3.17","-3.17","7.70","8.03","21009","660844"
"Adam Kloffenstein","STL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","80","151","0.00","3.17","-3.17","6.19","7.35","24493","680572"
"Reese Olson","DET","8.09","2.64","3.06","0.56","21.7%","7.1%","14.6%",".234","1.18",".291","67.6%","87","77","91","3.53","3.17","0.36","3.72","3.93","24968","681857"
"Grae Kessinger","HOU","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","77","152","0.00","3.17","-3.17","6.19","7.35","25813","666197"
"Tyler Holton","DET","7.35","1.62","4.53","0.67","21.8%","4.8%","16.9%",".171","0.78",".201","77.7%","54","77","90","2.19","3.17","-0.97","3.68","3.48","26231","663947"
"Matt Wallner","MIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.50",".333","100.0%","0","77","133","0.00","3.17","-3.17","5.43","6.55","26466","670242"
"Nick Loftin","KCR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","77","77","0.00","3.17","-3.17","3.17","2.32","27630","679845"
"Naoyuki Uwasawa","BOS","6.75","4.50","1.50","0.00","18.8%","12.5%","6.3%",".143","1.00",".182","75.0%","54","77","124","2.25","3.17","-0.92","5.06","4.89","33828","683822"
"Miguel Sano","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","76","77","0.00","3.17","-3.17","3.17","-1.18","12164","593934"
"Luis Torrens","NYM","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","79","78","0.00","3.17","-3.17","3.17","-1.18","15905","620443"
"Luis F. Ortiz","PHI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".750","4.50",".750","33.3%","644","77","78","27.00","3.17","23.83","3.17","1.54","16942","656814"
"Jhonny Pereda","MIA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","78","78","0.00","3.17","-3.17","3.17","6.03","19802","640902"
