"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Nick Gardewine","TEX","7.20","0.00","4.00","0.00","17.4%","0.0%","17.4%",".318","1.40",".389","75.0%","77","49","106","3.60","2.16","1.44","4.47","3.90","16513","643320"
"Craig Stammen","SDP","10.03","1.94","5.18","0.34","27.8%","5.4%","22.4%",".219","1.04",".301","74.3%","70","54","73","2.73","2.19","0.55","2.97","2.78","7274","489334"
"Josh Hader","MIL","15.82","3.32","4.77","1.00","46.7%","9.8%","36.9%",".131","0.81",".220","80.9%","60","54","50","2.43","2.23","0.21","2.05","1.70","14212","623352"
"Jose Alvarado","TBR","11.25","4.08","2.76","0.14","30.4%","11.0%","19.4%",".180","1.11",".270","72.2%","58","56","75","2.39","2.27","0.12","3.15","3.16","17780","621237"
"Stephen Tarpley","NYY","13.00","6.00","2.17","0.00","32.5%","15.0%","17.5%",".176","1.33",".286","75.0%","70","53","67","3.00","2.27","0.73","2.82","3.47","15859","605501"
"Tony Cingrani","LAD","14.29","2.38","6.00","0.79","37.9%","6.3%","31.6%",".221","1.10",".354","63.5%","124","57","61","4.76","2.32","2.44","2.49","2.02","12555","571561"
"Taylor Rogers","MIN","9.88","2.11","4.69","0.40","28.8%","6.2%","22.7%",".202","0.95",".280","74.8%","61","55","70","2.63","2.33","0.31","2.94","2.81","13449","573124"
"Drew Anderson","PHI","7.82","1.42","5.50","0.00","18.6%","3.4%","15.3%",".309","1.50",".386","66.7%","124","56","116","4.97","2.37","2.60","4.72","3.93","15130","623454"
"Daniel Zamora","NYM","16.00","3.00","5.33","1.00","44.4%","8.3%","36.1%",".188","1.00",".333","81.4%","79","59","59","3.00","2.38","0.62","2.41","1.71","17811","623354"
"Aaron Bummer","CHW","9.95","2.84","3.50","0.28","24.3%","6.9%","17.4%",".301","1.58",".402","64.5%","101","56","67","4.26","2.40","1.86","2.83","2.80","16258","607481"
"Tony Sipp","HOU","9.78","3.03","3.23","0.23","27.8%","8.6%","19.2%",".197","1.03",".277","83.3%","45","59","87","1.86","2.41","-0.55","3.70","3.28","8280","448609"
"Felipe Vazquez","PIT","11.44","3.09","3.71","0.51","30.1%","8.1%","22.0%",".232","1.24",".331","77.7%","68","60","75","2.70","2.43","0.27","3.06","2.94","12076","553878"
"Joakim Soria","- - -","11.13","2.37","4.69","0.59","29.4%","6.3%","23.1%",".224","1.14",".310","71.9%","75","58","80","3.12","2.44","0.68","3.35","2.88","6941","465657"
"Trevor Bauer","CLE","11.34","2.93","3.88","0.46","30.8%","7.9%","22.9%",".206","1.09",".297","79.5%","50","58","74","2.21","2.44","-0.23","3.13","3.21","12703","545333"
"Will Harris","HOU","10.16","2.22","4.57","0.48","27.8%","6.1%","21.7%",".224","1.09",".306","70.2%","85","59","66","3.49","2.44","1.06","2.77","2.77","3192","501789"
"Tony Watson","SFG","9.82","1.91","5.14","0.55","27.6%","5.4%","22.2%",".220","1.03",".294","78.9%","66","63","76","2.59","2.45","0.14","3.09","2.89","3132","453265"
"Roberto Osuna","- - -","7.58","0.95","8.00","0.24","21.3%","2.7%","18.7%",".232","0.97",".294","78.3%","56","59","88","2.37","2.45","-0.08","3.72","3.32","13764","532077"
"Ryan Pressly","- - -","12.80","2.79","4.59","0.76","34.6%","7.5%","27.1%",".213","1.11",".319","82.9%","59","59","61","2.54","2.47","0.06","2.58","2.39","7005","519151"
"Dellin Betances","NYY","15.53","3.51","4.42","0.95","42.3%","9.6%","32.7%",".183","1.05",".311","81.3%","63","57","46","2.70","2.47","0.23","1.95","2.02","6216","476454"
"Patrick Corbin","ARI","11.07","2.16","5.13","0.68","30.8%","6.0%","24.8%",".217","1.05",".302","74.7%","77","62","64","3.15","2.47","0.68","2.61","2.91","9323","571578"
"Alec Mills","CHC","11.50","3.50","3.29","0.50","32.4%","9.9%","22.5%",".172","1.00",".250","60.2%","100","62","77","4.00","2.49","1.51","3.15","3.12","13834","621219"
"Kirby Yates","SDP","12.86","2.43","5.29","0.86","36.0%","6.8%","29.2%",".179","0.92",".263","87.7%","55","63","65","2.14","2.54","-0.40","2.64","2.26","9073","489446"
"Rhiner Cruz","TOR","10.80","5.40","2.00","0.00","26.7%","13.3%","13.3%",".231","1.50",".333","80.0%","63","60","84","2.70","2.56","0.14","3.55","3.90","711","462480"
"Adam Kolarek","TBR","4.98","1.31","3.80","0.00","13.5%","3.5%","9.9%",".281","1.25",".328","65.9%","96","64","95","3.93","2.58","1.35","4.02","3.71","10843","592473"
"Richard Rodriguez","PIT","11.42","2.47","4.63","0.65","31.5%","6.8%","24.7%",".216","1.07",".309","83.3%","62","64","85","2.47","2.60","-0.13","3.47","2.73","13549","593144"
"Dennis Santana","LAD","9.82","2.45","4.00","0.00","21.1%","5.3%","15.8%",".353","1.91",".462","37.5%","319","65","75","12.27","2.61","9.66","3.07","3.52","17878","642701"
"Jose Castillo","SDP","12.21","2.82","4.33","0.70","34.7%","8.0%","26.7%",".170","0.91",".250","71.0%","84","65","77","3.29","2.64","0.65","3.13","2.53","17169","620454"
"Jeurys Familia","- - -","10.37","3.50","2.96","0.37","27.5%","9.3%","18.2%",".221","1.22",".306","74.6%","79","65","85","3.12","2.65","0.48","3.53","3.33","5114","544727"
"Max Scherzer","WSN","12.24","2.08","5.88","0.94","34.6%","5.9%","28.8%",".187","0.91",".265","81.3%","62","64","75","2.53","2.65","-0.12","3.06","2.71","3137","453286"
"Andrew Chafin","ARI","9.67","4.56","2.12","0.00","25.1%","11.8%","13.3%",".223","1.34",".313","73.5%","76","66","91","3.10","2.65","0.45","3.69","3.80","12988","605177"
"Ian Krol","LAA","9.00","4.50","2.00","0.00","25.0%","12.5%","12.5%",".143","1.00",".200","100.0%","0","63","82","0.00","2.66","-2.66","3.49","3.24","10066","571871"
"Jace Fry","CHW","12.27","3.51","3.50","0.70","32.7%","9.3%","23.4%",".192","1.11",".277","57.3%","104","63","70","4.38","2.67","1.71","2.95","2.84","16159","605240"
"Gerrit Cole","HOU","12.40","2.88","4.31","0.85","34.5%","8.0%","26.5%",".196","1.03",".286","77.9%","70","66","72","2.88","2.70","0.17","3.03","2.91","13125","543037"
"Richard Bleier","BAL","4.13","1.10","3.75","0.00","11.3%","3.0%","8.3%",".281","1.22",".319","82.9%","45","62","95","1.93","2.70","-0.77","4.02","3.81","7803","542947"
"James Norwood","CHC","8.18","4.09","2.00","0.00","18.5%","9.3%","9.3%",".286","1.73",".359","63.2%","103","67","133","4.09","2.71","1.39","5.41","4.61","16440","656803"
"Matt Barnes","BOS","14.01","4.52","3.10","0.73","36.2%","11.7%","24.5%",".203","1.26",".321","75.3%","82","65","67","3.65","2.71","0.94","2.83","2.78","12863","598264"
"Robert Stock","SDP","8.62","2.95","2.92","0.23","22.9%","7.8%","15.1%",".245","1.26",".321","77.1%","64","67","96","2.50","2.71","-0.21","3.92","3.61","6576","476594"
"Ricardo Rodriguez","TEX","4.05","1.35","3.00","0.00","9.7%","3.2%","6.5%",".367","1.80",".407","75.0%","87","62","105","4.05","2.71","1.34","4.44","4.64","15458","600965"
"Collin McHugh","HOU","11.70","2.61","4.48","0.75","33.2%","7.4%","25.8%",".175","0.91",".248","84.7%","49","66","77","1.99","2.72","-0.73","3.26","2.62","7531","543521"
"A.J. Minter","ATL","10.13","3.23","3.14","0.44","26.5%","8.5%","18.1%",".242","1.29",".329","75.5%","78","67","89","3.23","2.72","0.51","3.62","3.40","18655","621345"
"Evan Marshall","CLE","11.57","5.14","2.25","0.00","24.3%","10.8%","13.5%",".375","2.29",".522","64.7%","176","65","81","7.71","2.73","4.98","3.44","3.44","12297","605359"
"Caleb Frare","CHW","11.57","5.14","2.25","0.00","29.0%","12.9%","16.1%",".231","1.43",".353","63.6%","122","64","104","5.14","2.73","2.41","4.38","3.75","14353","621350"
"Adam Ottavino","COL","12.98","4.17","3.11","0.58","36.2%","11.7%","24.6%",".154","0.99",".240","76.3%","53","64","77","2.43","2.74","-0.30","3.13","2.82","1247","493603"
"Steven Okert","SFG","9.82","0.00","8.00","1.23","29.6%","0.0%","29.6%",".148","0.55",".167","100.0%","31","71","79","1.23","2.75","-1.52","3.23","2.41","13580","595345"
"Miguel Socolovich","ATL","7.20","3.60","2.00","0.00","16.0%","8.0%","8.0%",".348","2.00",".421","40.0%","263","68","125","10.80","2.76","8.04","5.07","4.61","6697","462515"
"Dan Winkler","ATL","10.29","2.98","3.45","0.45","27.1%","7.8%","19.2%",".226","1.19",".310","68.7%","83","68","91","3.43","2.76","0.67","3.70","3.27","12237","595465"
"Anthony Bass","CHC","8.22","1.76","4.67","0.59","22.6%","4.8%","17.7%",".305","1.37",".386","76.5%","74","69","71","2.93","2.77","0.17","2.89","2.95","7982","542914"
"Justin Verlander","HOU","12.20","1.56","7.84","1.18","34.8%","4.4%","30.4%",".198","0.90",".272","85.3%","62","67","72","2.52","2.78","-0.26","3.03","2.63","8700","434378"
"Jeremy Jeffress","MIL","10.45","3.17","3.30","0.59","29.8%","9.0%","20.7%",".181","0.99",".249","92.9%","32","68","70","1.29","2.78","-1.49","2.86","2.87","9490","502026"
"Hector Rondon","HOU","10.22","3.05","3.35","0.61","26.8%","8.0%","18.8%",".252","1.32",".340","77.3%","78","68","80","3.20","2.79","0.42","3.39","3.24","2391","444468"
"Noah Syndergaard","NYM","9.04","2.27","3.97","0.52","24.1%","6.1%","18.0%",".247","1.21",".320","76.6%","80","70","81","3.03","2.80","0.23","3.29","3.55","11762","592789"
"Erik Kratz","MIL","6.00","3.00","2.00","0.00","16.7%","8.3%","8.3%",".273","1.33",".333","50.0%","74","69","97","3.00","2.83","0.17","3.93","3.67","4403","456124"
"Matt Davidson","CHW","6.00","3.00","2.00","0.00","18.2%","9.1%","9.1%",".100","0.67",".125","100.0%","0","66","93","0.00","2.83","-2.83","3.93","4.34","7226","571602"
"Alec Asher","MIL","6.00","3.00","2.00","0.00","15.4%","7.7%","7.7%",".167","1.00",".200","100.0%","0","69","138","0.00","2.83","-2.83","5.58","4.95","13560","594742"
"Ryan Brasier","BOS","7.75","1.87","4.14","0.53","23.4%","5.6%","17.7%",".162","0.77",".198","86.2%","36","68","89","1.60","2.83","-1.23","3.78","3.45","5615","518489"
"Kyle Crockett","CIN","10.61","1.93","5.50","0.96","23.9%","4.3%","19.6%",".364","1.93",".469","60.2%","140","68","75","5.79","2.84","2.95","3.04","3.14","15033","641490"
"John Curtiss","MIN","9.95","5.68","1.75","0.00","23.3%","13.3%","10.0%",".308","1.89",".421","66.7%","132","68","122","5.68","2.84","2.84","5.19","4.80","16128","595928"
"Michael Soroka","ATL","7.36","2.45","3.00","0.35","18.6%","6.2%","12.4%",".283","1.44",".345","64.6%","85","71","89","3.51","2.85","0.66","3.63","4.17","18383","647336"
"Seranthony Dominguez","PHI","11.48","3.41","3.36","0.62","32.0%","9.5%","22.5%",".156","0.93",".220","74.4%","73","68","74","2.95","2.85","0.10","3.04","2.81","19249","622554"
"Spencer Turnbull","DET","8.27","2.20","3.75","0.55","21.7%","5.8%","15.9%",".262","1.29",".327","51.0%","139","67","80","6.06","2.85","3.21","3.37","3.76","16207","605513"
"Chad Green","NYY","11.18","1.78","6.27","1.07","31.5%","5.0%","26.5%",".227","1.04",".307","86.1%","58","66","75","2.50","2.86","-0.36","3.19","2.59","15552","643338"
"Scott Oberg","COL","8.74","1.84","4.75","0.61","25.0%","5.3%","19.7%",".211","0.97",".270","79.0%","53","67","69","2.45","2.87","-0.42","2.83","2.72","13911","623184"
"C.D. Pelham","TEX","8.22","4.70","1.75","0.00","18.4%","10.5%","7.9%",".353","2.09",".444","62.5%","151","66","89","7.04","2.90","4.14","3.76","4.22","19820","641962"
"Joe Jimenez","DET","11.20","3.16","3.55","0.72","29.2%","8.2%","21.0%",".219","1.20",".302","62.0%","99","68","90","4.31","2.91","1.40","3.82","3.14","15761","641729"
"Carl Edwards Jr.","CHC","11.60","5.54","2.09","0.35","30.2%","14.4%","15.8%",".189","1.31",".281","78.2%","65","73","101","2.60","2.93","-0.33","4.11","3.84","13607","605218"
"Carlos Carrasco","CLE","10.83","2.02","5.37","0.98","29.5%","5.5%","24.0%",".235","1.12",".315","74.8%","77","70","69","3.37","2.94","0.43","2.90","3.03","6632","471911"
"Blake Snell","TBR","11.01","3.19","3.45","0.80","31.6%","9.1%","22.4%",".176","0.97",".241","88.0%","46","72","75","1.89","2.94","-1.05","3.16","3.30","13543","605483"
"Xavier Cedeno","- - -","9.18","4.32","2.13","0.27","24.3%","11.4%","12.9%",".210","1.26",".281","78.8%","58","70","84","2.43","2.95","-0.52","3.50","3.70","36","458584"
"Luis Severino","NYY","10.35","2.16","4.78","0.89","28.2%","5.9%","22.3%",".237","1.14",".314","75.0%","79","68","73","3.39","2.95","0.44","3.10","3.26","15890","622663"
"Yency Almonte","COL","8.59","2.45","3.50","0.61","23.3%","6.7%","16.7%",".268","1.30",".341","79.5%","40","69","76","1.84","2.96","-1.11","3.08","3.29","15068","622075"
"Brandon Morrow","CHC","9.10","2.64","3.44","0.59","25.4%","7.4%","18.0%",".214","1.08",".278","92.9%","37","74","78","1.47","2.96","-1.50","3.19","3.13","9346","453344"
"Keone Kela","- - -","11.42","3.29","3.47","0.87","31.1%","9.0%","22.2%",".197","1.10",".270","76.0%","74","69","79","3.29","2.97","0.32","3.31","2.99","14696","605309"
"Tony Barnette","TEX","8.89","1.71","5.20","0.68","25.0%","4.8%","20.2%",".196","0.91",".246","64.7%","51","68","78","2.39","2.97","-0.58","3.30","2.96","3555","501817"
"David Robertson","NYY","11.76","3.36","3.50","0.90","32.2%","9.2%","23.0%",".179","1.03",".245","67.5%","76","69","73","3.23","2.97","0.26","3.09","2.88","8241","502085"
"Juan Nicasio","SEA","11.36","1.07","10.60","1.29","29.0%","2.7%","26.2%",".301","1.38",".402","58.1%","146","72","75","6.00","2.99","3.01","3.18","2.59","7731","504379"
"Hyun-Jin Ryu","LAD","9.73","1.64","5.93","0.98","27.5%","4.6%","22.8%",".221","1.01",".281","85.4%","51","75","76","1.97","3.00","-1.03","3.11","3.18","14444","547943"
"Zach Duke","- - -","8.83","3.63","2.43","0.17","21.3%","8.8%","12.5%",".268","1.50",".348","67.8%","98","72","88","4.15","3.01","1.15","3.74","3.53","3840","435043"
"Aaron Nola","PHI","9.49","2.46","3.86","0.72","27.0%","7.0%","20.0%",".195","0.97",".251","82.5%","59","72","79","2.37","3.01","-0.64","3.21","3.40","16149","605400"
"John Brebbia","STL","10.66","2.84","3.75","0.89","28.7%","7.7%","21.1%",".223","1.16",".297","78.8%","82","76","93","3.20","3.02","0.18","3.79","3.17","12777","605154"
"Corey Knebel","MIL","14.31","3.58","4.00","1.14","39.5%","9.9%","29.6%",".193","1.08",".304","75.6%","89","75","59","3.58","3.03","0.54","2.40","2.29","15010","608349"
"Walker Buehler","LAD","9.90","2.42","4.08","0.79","27.9%","6.8%","21.1%",".191","0.96",".248","78.4%","68","75","79","2.62","3.04","-0.42","3.21","3.31","19374","621111"
"Jonathan Holder","NYY","8.18","2.59","3.16","0.55","22.1%","7.0%","15.1%",".210","1.09",".261","68.2%","73","70","109","3.14","3.04","0.10","4.63","3.98","16588","656547"
"Jose Alvarez","LAA","8.43","3.14","2.68","0.43","22.6%","8.4%","14.2%",".215","1.16",".274","77.7%","64","72","94","2.71","3.05","-0.34","3.98","3.78","5358","501625"
"Mychal Givens","BAL","9.27","3.52","2.63","0.47","24.9%","9.5%","15.5%",".215","1.19",".284","64.5%","93","70","97","3.99","3.07","0.92","4.11","3.72","10430","571710"
"Ken Giles","- - -","9.48","1.25","7.57","1.07","25.0%","3.3%","21.7%",".265","1.21",".331","63.4%","112","73","77","4.65","3.08","1.57","3.27","2.96","12910","571704"
"Trevor May","MIN","12.79","1.78","7.20","1.42","35.0%","4.9%","30.1%",".216","1.03",".298","84.1%","74","73","59","3.20","3.08","0.12","2.46","2.17","6398","543507"
"Roenis Elias","SEA","6.00","2.82","2.13","0.18","16.2%","7.6%","8.6%",".238","1.22",".285","74.7%","64","74","117","2.65","3.08","-0.43","4.96","4.73","12673","606273"
"Dylan Floro","- - -","8.16","3.23","2.52","0.42","21.4%","8.5%","12.9%",".231","1.25",".290","83.3%","56","75","92","2.25","3.08","-0.83","3.74","3.65","13394","571670"
"Luis Avilan","- - -","10.13","3.57","2.83","0.60","25.9%","9.1%","16.8%",".249","1.37",".333","70.2%","90","73","96","3.77","3.09","0.68","4.02","3.57","2882","501593"
"Paul Fry","BAL","8.60","3.58","2.40","0.24","22.6%","9.4%","13.2%",".236","1.27",".311","63.2%","78","71","88","3.35","3.11","0.24","3.73","3.52","15832","643316"
"Corey Kluber","CLE","9.29","1.42","6.53","1.05","26.4%","4.0%","22.3%",".222","0.99",".276","77.9%","66","74","73","2.89","3.12","-0.23","3.08","3.23","2429","446372"
"Craig Kimbrel","BOS","13.86","4.48","3.10","1.01","38.9%","12.6%","26.3%",".145","0.99",".216","83.0%","62","75","74","2.74","3.13","-0.39","3.13","2.71","6655","518886"
"Nick Wittgren","MIA","8.29","4.01","2.07","0.27","20.9%","10.1%","10.8%",".220","1.31",".280","73.4%","77","79","112","2.94","3.13","-0.19","4.56","4.20","15594","621295"
"Kyle Crick","PIT","9.70","3.43","2.83","0.45","25.5%","9.0%","16.5%",".200","1.13",".268","80.5%","60","77","98","2.39","3.14","-0.76","4.00","3.57","13182","605195"
"Brandon Guyer","CLE","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","152","0.00","3.16","-3.16","6.46","7.37","2636","446386"
"Charlie Culberson","ATL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","219","78","78","9.00","3.16","5.84","3.16","1.07","3298","518586"
"Pablo Sandoval","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","81","78","0.00","3.16","-3.16","3.16","-1.16","5409","467055"
"Pedro Baez","LAD","9.91","3.67","2.70","0.64","26.2%","9.7%","16.5%",".216","1.22",".286","79.2%","75","79","101","2.88","3.16","-0.28","4.11","3.64","5420","520980"
"Jesus Sucre","TBR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".571","4.00",".571","50.0%","439","78","191","18.00","3.16","14.84","8.12","5.63","5942","491696"
"Chase d'Arnaud","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","81","200","0.00","3.16","-3.16","8.12","10.55","6652","488818"
"Alex Avila","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".143","0.50",".143","100.0%","0","79","160","0.00","3.16","-3.16","6.46","7.95","7476","488671"
"Greg Garcia","STL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","79","119","0.00","3.16","-3.16","4.81","4.75","10951","594824"
"Daniel Robertson","TBR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","78","152","0.00","3.16","-3.16","6.46","9.78","14145","621002"
"J.B. Wendelken","OAK","7.56","2.70","2.80","0.54","22.6%","8.1%","14.5%",".140","0.78",".167","100.0%","13","77","108","0.54","3.16","-2.62","4.56","3.90","14506","605525"
"Mitch Garver","MIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","75","114","0.00","3.16","-3.16","4.81","5.18","15161","641598"
"Ian Happ","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","78","119","0.00","3.16","-3.16","4.81","5.18","17919","664023"
"Scott Kingery","PHI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","50.0%","336","75","108","13.50","3.16","10.34","4.40","4.51","17975","664068"
"Anthony Rizzo","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","78","200","0.00","3.16","-3.16","8.12","13.28","3473","519203"
"Mark Reynolds","WSN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","76","78","0.00","3.16","-3.16","3.16","-1.16","7619","448602"
"Carlos Tocci","TEX","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","72","191","0.00","3.16","-3.16","8.12","13.28","14558","624636"
"Phillip Ervin","CIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","78","0.00","3.16","-3.16","3.16","-1.16","14738","640447"
"Osmer Morales","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","100.0%","0","74","75","0.00","3.16","-3.16","3.16","3.68","17133","591672"
"Seth Lugo","NYM","9.15","2.49","3.68","0.80","25.1%","6.8%","18.3%",".213","1.08",".269","76.2%","70","79","86","2.66","3.17","-0.51","3.48","3.36","12447","607625"
"Clayton Kershaw","LAD","8.65","1.62","5.34","0.95","23.8%","4.5%","19.4%",".225","1.04",".273","78.7%","71","79","78","2.73","3.19","-0.45","3.19","3.45","2036","477132"
"Brad Hand","- - -","13.25","3.50","3.79","1.00","35.2%","9.3%","25.9%",".197","1.11",".293","78.4%","68","78","72","2.75","3.20","-0.45","2.97","2.60","9111","543272"
"Kenta Maeda","LAD","10.99","3.09","3.56","0.93","28.8%","8.1%","20.7%",".238","1.26",".321","72.5%","99","80","83","3.81","3.22","0.59","3.37","3.42","18498","628317"
"Shawn Armstrong","SEA","9.20","1.84","5.00","0.61","26.3%","5.3%","21.1%",".176","0.82",".229","95.6%","30","77","95","1.23","3.23","-2.00","4.03","3.09","12857","542888"
"Shane Bieber","CLE","9.26","1.81","5.13","1.02","24.3%","4.7%","19.6%",".283","1.33",".356","69.4%","104","77","78","4.55","3.23","1.32","3.30","3.45","19427","669456"
"James Paxton","SEA","11.68","2.36","4.95","1.29","32.2%","6.5%","25.7%",".223","1.10",".299","76.0%","91","78","72","3.76","3.24","0.53","3.02","2.96","11828","572020"
"Reyes Moronta","SFG","10.94","5.12","2.14","0.55","30.2%","14.1%","16.0%",".151","1.09",".211","78.0%","64","83","98","2.49","3.24","-0.75","3.99","3.77","14966","606625"
"Oliver Drake","- - -","9.63","3.21","3.00","0.76","24.4%","8.1%","16.3%",".272","1.45",".353","63.7%","125","77","84","5.29","3.24","2.04","3.50","3.48","8823","543118"
"Phil Maton","SDP","10.46","4.37","2.39","0.57","25.7%","10.7%","15.0%",".265","1.54",".359","70.6%","112","80","106","4.37","3.24","1.13","4.31","3.81","18064","664208"
"Zack Wheeler","NYM","8.84","2.71","3.25","0.69","24.1%","7.4%","16.7%",".221","1.12",".279","74.6%","87","81","94","3.31","3.25","0.06","3.81","3.87","10310","554430"
"Silvino Bracho","ARI","9.87","3.48","2.83","0.58","26.4%","9.3%","17.1%",".219","1.19",".295","75.3%","78","82","103","3.19","3.26","-0.06","4.18","3.56","15051","611093"
"Colten Brewer","SDP","9.31","6.52","1.43","0.00","20.4%","14.3%","6.1%",".357","2.28",".469","54.5%","143","81","114","5.59","3.26","2.32","4.63","4.68","12997","605155"
