"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Danny Valencia","BAL","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-63","-66","0.00","-2.84","2.84","-2.84","-0.31","6364","502143"
"Alex Blandino","CIN","18.00","0.00","2.00","0.00","50.0%","0.0%","50.0%",".250","1.00",".500","100.0%","0","-21","-22","0.00","-0.84","0.84","-0.84","0.35","16271","607468"
"Adam McCreery","ATL","18.00","0.00","2.00","0.00","28.6%","0.0%","28.6%",".571","4.00",".800","50.0%","438","-22","19","18.00","-0.84","18.84","0.81","2.37","19550","607030"
"Julio Urias","LAD","15.75","0.00","7.00","0.00","53.8%","0.0%","53.8%",".077","0.25",".167","100.0%","0","-9","11","0.00","-0.34","0.34","0.49","0.36","14765","628711"
"Scott Copeland","NYM","13.50","0.00","2.00","0.00","40.0%","0.0%","40.0%",".200","0.75",".333","100.0%","0","3","3","0.00","0.16","-0.16","0.16","0.43","10706","571577"
"Mike Morin","SEA","13.50","2.25","6.00","0.00","33.3%","5.6%","27.8%",".353","1.75",".545","57.1%","164","22","51","6.75","0.91","5.84","2.15","2.39","13442","573046"
"Ryan Rua","TEX","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","27","28","0.00","1.16","-1.16","1.16","1.16","12409","607387"
"DJ Johnson","COL","12.79","2.84","4.50","0.00","33.3%","7.4%","25.9%",".240","1.26",".375","62.5%","93","29","63","4.26","1.27","3.00","2.57","2.57","12578","597113"
"Jerad Eickhoff","PHI","18.56","0.00","11.00","1.69","42.3%","0.0%","42.3%",".385","1.88",".643","69.8%","168","35","21","6.75","1.47","5.28","0.89","1.42","12664","595191"
"Edwin Diaz","SEA","15.22","2.09","7.29","0.61","44.3%","6.1%","38.2%",".160","0.79",".281","82.5%","48","39","42","1.96","1.61","0.36","1.78","1.49","14710","621242"
"Ty Buttrey","LAA","11.02","2.76","4.00","0.00","28.6%","7.1%","21.4%",".231","1.22",".333","65.0%","78","39","60","3.31","1.63","1.68","2.54","2.67","14719","621142"
"Brandon Dixon","CIN","6.75","0.00","1.00","0.00","25.0%","0.0%","25.0%",".000","0.00",".000","100.0%","0","39","133","0.00","1.66","-1.66","5.38","6.28","15214","641525"
"Oliver Perez","CLE","11.97","1.95","6.14","0.28","35.8%","5.8%","30.0%",".153","0.74",".239","81.3%","32","42","61","1.39","1.74","-0.35","2.56","2.17","1514","424144"
"Blake Treinen","OAK","11.20","2.35","4.76","0.22","31.7%","6.7%","25.1%",".157","0.83",".230","85.9%","19","45","57","0.78","1.82","-1.03","2.42","2.46","12572","595014"
"Sean Doolittle","WSN","12.00","1.20","10.00","0.60","36.8%","3.7%","33.1%",".135","0.60",".196","84.7%","39","45","66","1.60","1.89","-0.29","2.68","1.95","1581","448281"
"Jose Leclerc","TEX","13.27","3.90","3.40","0.16","38.1%","11.2%","26.9%",".123","0.85",".211","71.1%","33","43","73","1.56","1.89","-0.33","3.10","2.60","14524","600917"
"Chris Sale","BOS","13.50","1.94","6.97","0.63","38.4%","5.5%","32.9%",".179","0.86",".283","82.5%","47","48","55","2.11","1.98","0.13","2.31","2.27","10603","519242"
"Jacob deGrom","NYM","11.16","1.91","5.85","0.41","32.2%","5.5%","26.7%",".194","0.91",".281","82.0%","45","49","64","1.70","1.99","-0.28","2.60","2.78","10954","594798"
"Will Smith","SFG","12.06","2.55","4.73","0.51","33.8%","7.1%","26.7%",".190","0.98",".281","71.1%","65","53","68","2.55","2.07","0.48","2.76","2.50","8048","519293"
"Marcus Walden","BOS","8.59","1.84","4.67","0.00","23.7%","5.1%","18.6%",".255","1.16",".341","61.1%","83","50","70","3.68","2.07","1.61","2.97","2.76","8004","519393"
"Roberto Gomez","SFG","7.71","0.96","8.00","0.00","16.3%","2.0%","14.3%",".426","2.25",".513","50.0%","198","53","95","7.71","2.09","5.63","3.86","3.53","12963","596816"
"Aroldis Chapman","NYY","16.31","5.26","3.10","0.35","43.9%","14.2%","29.7%",".136","1.05",".268","78.3%","57","49","61","2.45","2.09","0.37","2.58","2.50","10233","547973"
"Brad Wieck","SDP","12.86","0.00","10.00","1.29","41.7%","0.0%","41.7%",".125","0.43",".154","100.0%","33","53","53","1.29","2.16","-0.87","2.19","1.34","16390","623364"
