"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Guillo Zuniga","STL","18.00","0.00","4.00","0.00","50.0%","0.0%","50.0%",".250","1.00",".500","50.0%","105","-17","21","4.50","-0.74","5.24","0.91","1.02","19588","670871"
"Chris Vallimont","BAL","13.50","0.00","1.00","0.00","50.0%","0.0%","50.0%",".500","1.50","1.000","100.0%","0","6","6","0.00","0.26","-0.26","0.26","0.79","24935","681808"
"Elvin Rodriguez","TBR","13.50","0.00","5.00","0.00","50.0%","0.0%","50.0%",".000","0.00",".000","100.0%","0","6","41","0.00","0.26","-0.26","1.74","0.93","20962","660730"
"Kyle Hurt","LAD","13.50","0.00","3.00","0.00","50.0%","0.0%","50.0%",".000","0.00",".000","100.0%","0","6","25","0.00","0.26","-0.26","1.08","0.70","27514","669165"
"Yoendrys Gomez","NYY","18.00","0.00","4.00","0.00","50.0%","0.0%","50.0%",".143","0.50",".333","100.0%","0","17","37","0.00","0.76","-0.76","1.58","0.79","22872","672782"
"Tyler Cyr","LAD","10.80","0.00","2.00","0.00","33.3%","0.0%","33.3%",".167","0.60",".250","100.0%","0","19","42","0.00","0.86","-0.86","1.85","1.36","18421","664202"
"Alek Jacob","SDP","15.00","3.00","5.00","0.00","50.0%","10.0%","40.0%",".000","0.33",".000","100.0%","0","21","34","0.00","0.92","-0.92","1.47","1.65","29628","689690"
"Rowdy Tellez","MIL","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","29","104","0.00","1.26","-1.26","4.56","4.69","15679","642133"
"Nate Eaton","KCR","9.00","0.00","1.00","0.00","20.0%","0.0%","20.0%",".400","2.00",".500","100.0%","0","29","29","0.00","1.26","-1.26","1.26","0.99","25055","681987"
"Orion Kerkering","PHI","18.00","6.00","3.00","0.00","42.9%","14.3%","28.6%",".250","1.67",".500","80.0%","68","28","29","3.00","1.26","1.74","1.26","2.55","31776","689147"
"Thomas Pannone","MIL","13.50","3.38","4.00","0.00","28.6%","7.1%","21.4%",".385","2.25",".556","66.7%","156","32","88","6.75","1.38","5.37","3.86","3.24","17281","623381"
"Sean Reid-Foley","NYM","18.78","7.04","2.67","0.00","47.1%","17.6%","29.4%",".143","1.30",".333","70.0%","83","33","52","3.52","1.43","2.09","2.29","3.00","17034","656887"
"Victor Vodnik","COL","12.46","3.12","4.00","0.00","27.3%","6.8%","20.5%",".366","2.08",".517","50.0%","167","33","52","8.31","1.52","6.78","2.29","2.66","24614","680767"
"Jacob deGrom","TEX","13.35","1.19","11.25","0.59","39.1%","3.5%","35.7%",".171","0.76",".266","59.4%","63","36","54","2.67","1.54","1.13","2.32","2.24","10954","594798"
"Jonathan Schoop","DET","6.75","0.00","1.00","0.00","20.0%","0.0%","20.0%",".200","0.75",".250","100.0%","0","41","99","0.00","1.76","-1.76","4.24","3.97","11265","570731"
"Jeffrey Springs","TBR","13.50","2.25","6.00","0.56","43.6%","7.3%","36.4%",".078","0.50",".115","100.0%","14","44","45","0.56","1.82","-1.26","1.94","2.23","17677","605488"
"Tejay Antone","CIN","11.12","3.18","3.50","0.00","33.3%","9.5%","23.8%",".158","0.88",".250","80.0%","35","40","55","1.59","1.84","-0.26","2.43","2.71","16233","622088"
"Packy Naughton","STL","9.00","1.80","5.00","0.00","29.4%","5.9%","23.5%",".125","0.60",".182","100.0%","0","43","65","0.00","1.86","-1.86","2.85","2.62","23292","676050"
"Felix Bautista","BAL","16.23","3.84","4.23","0.59","46.4%","11.0%","35.4%",".144","0.92",".274","84.0%","35","44","54","1.48","1.88","-0.40","2.30","2.06","20666","642585"
"Luke Little","CHC","16.20","5.40","3.00","0.00","40.0%","13.3%","26.7%",".200","1.35",".385","100.0%","0","44","61","0.00","1.91","-1.91","2.65","2.86","28036","681432"
"Adam Kolarek","- - -","10.50","1.50","7.00","0.00","31.8%","4.5%","27.3%",".100","0.50",".154","100.0%","0","44","63","0.00","1.92","-1.92","2.75","2.28","10843","592473"
"Tarik Skubal","DET","11.43","1.57","7.29","0.45","32.9%","4.5%","28.4%",".198","0.90",".289","67.7%","65","47","60","2.80","2.00","0.80","2.56","2.77","22267","669373"
"Miguel Diaz","DET","10.29","3.21","3.20","0.00","29.6%","9.3%","20.4%",".163","0.93",".242","92.3%","15","48","86","0.64","2.04","-1.40","3.69","3.46","18815","622766"
