"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Aaron Bummer","CHW","11.98","4.63","2.59","0.48","31.0%","12.0%","19.0%",".201","1.26",".298","66.4%","80","66","66","3.51","2.96","0.56","2.80","2.91","16258","607481"
"Brandon Woodruff","MIL","10.59","2.16","4.91","0.90","29.8%","6.1%","23.7%",".198","0.96",".261","81.4%","61","69","72","2.56","2.96","-0.40","3.05","3.31","16162","605540"
"Nick Sandlin","CLE","12.83","4.54","2.82","0.53","34.0%","12.1%","22.0%",".175","1.13",".271","68.9%","69","71","87","2.94","2.96","-0.02","3.71","3.27","20517","680704"
"Matt Wisler","- - -","11.47","2.03","5.64","1.11","31.8%","5.6%","26.2%",".224","1.07",".304","65.0%","91","73","83","3.70","2.96","0.73","3.54","2.91","12804","605538"
"Michael Kopech","CHW","13.37","3.12","4.29","1.17","36.1%","8.4%","27.7%",".208","1.13",".304","78.3%","80","67","70","3.50","2.97","0.54","2.99","2.70","17282","656629"
"Kodi Whitley","STL","9.59","4.26","2.25","0.36","26.7%","11.9%","14.9%",".169","1.07",".230","74.2%","61","71","101","2.49","2.97","-0.49","4.27","4.02","19731","676831"
"Max Scherzer","- - -","11.84","1.81","6.56","1.15","34.1%","5.2%","28.9%",".184","0.86",".247","84.3%","59","69","76","2.46","2.97","-0.52","3.24","2.90","3137","453286"
"Cole Sulser","BAL","10.37","3.27","3.17","0.71","28.4%","8.9%","19.5%",".205","1.12",".276","79.7%","61","66","87","2.70","2.98","-0.28","3.74","3.45","15256","642121"
"Andrew Chafin","- - -","8.39","2.49","3.37","0.52","24.1%","7.1%","16.9%",".184","0.93",".232","86.1%","44","71","94","1.83","2.98","-1.15","4.00","3.68","12988","605177"
"Clayton Kershaw","LAD","10.65","1.55","6.86","1.11","29.5%","4.3%","25.2%",".222","1.02",".289","71.7%","87","69","67","3.55","3.00","0.55","2.87","3.10","2036","477132"
"Lucas Sims","CIN","14.55","3.45","4.22","1.15","39.0%","9.2%","29.7%",".197","1.11",".308","63.0%","100","67","71","4.40","3.00","1.40","3.03","2.50","13470","608371"
"Kevin Gausman","SFG","10.64","2.34","4.54","0.94","29.3%","6.5%","22.8%",".208","1.04",".274","78.4%","70","74","77","2.81","3.00","-0.19","3.28","3.42","14107","592332"
"Drew Pomeranz","SDP","10.52","3.51","3.00","0.70","29.4%","9.8%","19.6%",".207","1.13",".283","87.8%","44","72","73","1.75","3.01","-1.26","3.10","3.34","11426","519141"
"Richard Bleier","MIA","6.83","0.93","7.33","0.62","19.6%","2.7%","16.9%",".236","0.98",".280","73.5%","70","72","67","2.95","3.01","-0.07","2.88","2.65","7803","542947"
"Francisco Perez","CLE","6.75","4.05","1.67","0.00","17.9%","10.7%","7.1%",".240","1.35",".300","66.7%","96","72","132","4.05","3.02","1.03","5.67","5.00","21018","660906"
"Shane Bieber","CLE","12.48","3.07","4.06","1.02","33.1%","8.1%","24.9%",".228","1.21",".327","80.5%","75","72","68","3.17","3.03","0.14","2.91","3.21","19427","669456"
"Andrew Kittredge","TBR","9.67","1.88","5.13","0.88","27.3%","5.3%","22.0%",".208","0.98",".267","82.3%","46","74","72","1.88","3.04","-1.16","3.05","2.95","12828","552640"
"Jake Reed","- - -","9.00","1.80","5.00","0.90","23.3%","4.7%","18.6%",".244","1.20",".300","56.6%","89","71","83","3.60","3.07","0.53","3.53","3.53","16209","596082"
"Adam Cimber","- - -","6.40","2.01","3.19","0.25","17.8%","5.6%","12.2%",".232","1.07",".281","73.9%","52","73","99","2.26","3.07","-0.81","4.21","3.92","15288","643256"
"Corey Oswalt","NYM","8.71","1.74","5.00","0.87","23.8%","4.8%","19.0%",".300","1.35",".379","79.4%","87","73","95","3.48","3.07","0.41","4.03","3.92","13677","621261"
"Dominic Leone","SFG","8.39","3.69","2.27","0.34","22.8%","10.0%","12.8%",".189","1.10",".243","78.7%","37","76","103","1.51","3.08","-1.57","4.37","4.19","13763","608678"
"Paul Sewald","SEA","14.47","3.34","4.33","1.39","39.4%","9.1%","30.3%",".175","1.02",".254","80.8%","74","74","70","3.06","3.08","-0.02","3.00","2.48","13892","623149"
"Joe Kelly","LAD","10.23","3.07","3.33","0.61","27.5%","8.2%","19.2%",".172","0.98",".227","72.4%","70","71","74","2.86","3.08","-0.22","3.16","3.09","9761","523260"
"Kenley Jansen","LAD","11.22","4.70","2.39","0.52","30.9%","12.9%","18.0%",".150","1.04",".213","77.5%","54","71","95","2.22","3.08","-0.87","4.04","3.72","3096","445276"
"Drew Rasmussen","- - -","8.64","2.96","2.92","0.59","23.8%","8.1%","15.6%",".202","1.08",".255","73.3%","68","75","86","2.84","3.09","-0.25","3.68","3.92","25385","656876"
"Jose Quijada","LAA","13.32","5.26","2.53","0.70","34.5%","13.6%","20.9%",".213","1.36",".333","66.3%","103","71","82","4.56","3.09","1.47","3.52","3.44","19200","650671"
"Tim Mayza","TOR","9.68","2.04","4.75","0.85","27.1%","5.7%","21.4%",".205","0.98",".263","70.8%","76","73","68","3.40","3.09","0.30","2.90","2.81","15042","641835"
"Ryan Thompson","TBR","9.79","2.38","4.11","0.79","27.6%","6.7%","20.9%",".211","1.03",".277","79.3%","58","76","81","2.38","3.11","-0.73","3.47","3.19","16647","657044"
"Louis Head","TBR","8.23","2.31","3.56","0.51","23.9%","6.7%","17.2%",".172","0.86",".216","76.2%","56","76","118","2.31","3.11","-0.80","5.04","4.03","13259","545343"
"Freddy Peralta","MIL","12.16","3.49","3.48","0.87","33.6%","9.7%","24.0%",".164","0.97",".230","79.1%","67","73","86","2.81","3.12","-0.32","3.66","3.40","18679","642547"
"Julio Urias","LAD","9.45","1.84","5.13","0.92","26.2%","5.1%","21.1%",".216","1.02",".272","76.2%","72","72","88","2.96","3.13","-0.17","3.73","3.64","14765","628711"
"Hector Santiago","SEA","10.25","3.76","2.73","0.68","25.6%","9.4%","16.2%",".255","1.44",".338","79.5%","83","75","95","3.42","3.13","0.29","4.09","3.82","4026","502327"
"Chris Rodriguez","LAA","8.80","4.55","1.93","0.00","21.6%","11.2%","10.4%",".243","1.45",".326","70.2%","83","72","101","3.64","3.14","0.50","4.33","4.29","22310","669735"
"Jordan Romano","TOR","12.14","3.57","3.40","1.00","33.6%","9.9%","23.7%",".181","1.05",".252","87.4%","48","74","77","2.14","3.15","-1.01","3.28","3.02","16122","605447"
"Jose Alvarez","SFG","5.85","2.64","2.21","0.28","15.8%","7.1%","8.6%",".215","1.11",".251","70.8%","59","77","103","2.37","3.15","-0.79","4.36","4.42","5358","501625"
"Walker Buehler","LAD","9.19","2.25","4.08","0.82","26.0%","6.4%","19.6%",".197","0.97",".247","80.9%","60","73","84","2.47","3.16","-0.69","3.57","3.73","19374","621111"
"Tommy Hunter","NYM","6.75","3.38","2.00","0.00","18.2%","9.1%","9.1%",".138","0.88",".174","100.0%","0","75","106","0.00","3.17","-3.17","4.49","4.56","1157","488984"
"Charlie Culberson","TEX","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".286","1.00",".286","100.0%","0","73","135","0.00","3.17","-3.17","5.82","6.25","3298","518586"
"Pedro Strop","CHC","13.50","9.00","1.50","0.00","30.0%","20.0%","10.0%",".250","2.00",".400","100.0%","0","75","74","0.00","3.17","-3.17","3.17","4.19","4070","467008"
"Justin Turner","LAD","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","73","158","0.00","3.17","-3.17","6.70","6.25","5235","457759"
"Marwin Gonzalez","BOS","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","115","0.00","3.17","-3.17","4.93","4.94","5497","503556"
"AJ Ramos","LAA","5.79","3.86","1.50","0.00","18.8%","12.5%","6.3%",".000","0.43",".000","100.0%","0","72","135","0.00","3.17","-3.17","5.82","5.36","8350","573109"
"Brock Holt","TEX","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","73","115","0.00","3.17","-3.17","4.93","6.25","9345","571788"
"Darin Ruf","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","33.3%","446","78","242","18.00","3.17","14.83","10.23","8.63","9929","573131"
"Adam Eaton","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","72","156","0.00","3.17","-3.17","6.70","5.59","11205","594809"
"Phillip Evans","PIT","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","158","0.00","3.17","-3.17","6.70","9.97","12950","595943"
"Kevin Plawecki","BOS","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","115","0.00","3.17","-3.17","4.93","6.25","13807","608700"
"Daniel Robertson","MIL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","74","158","0.00","3.17","-3.17","6.70","6.25","14145","621002"
"Wyatt Mathisen","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","77","158","0.00","3.17","-3.17","6.70","7.13","14555","621500"
"Rowan Wick","CHC","11.35","5.48","2.07","0.39","29.0%","14.0%","15.0%",".200","1.35",".291","65.4%","104","75","99","4.30","3.17","1.13","4.22","4.07","14646","592858"
"Pat Valaika","BAL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","70","105","0.00","3.17","-3.17","4.49","3.10","14885","642162"
"Mike Tauchman","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","66.7%","223","78","158","9.00","3.17","5.83","6.70","6.25","15274","643565"
"Joshua Fuentes","COL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","71","116","0.00","3.17","-3.17","4.93","6.25","16885","658069"
"Javy Guerra","SDP","7.36","4.91","1.50","0.00","16.7%","11.1%","5.6%",".250","1.64",".308","66.7%","124","75","132","4.91","3.17","1.74","5.58","5.05","17292","642770"
"Ka'ai Tom","OAK","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","76","156","0.00","3.17","-3.17","6.70","6.25","18136","664789"
"Jonathan Arauz","BOS","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","196","74","197","9.00","3.17","5.83","8.46","9.40","20275","660620"
"Glenn Otto","TEX","10.80","3.09","3.50","0.77","25.2%","7.2%","18.0%",".317","1.71",".423","45.9%","213","73","82","9.26","3.17","6.09","3.49","3.82","21366","657248"
"Nick Allgeyer","TOR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","156","0.00","3.17","-3.17","6.70","7.56","24486","680430"
"Jonathan Stiever","CHW","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%","1.000","4.00","1.000","25.0%","618","71","74","27.00","3.17","23.83","3.17","","24584","680692"
"Cooper Criswell","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".600","4.50",".600","50.0%","460","72","105","20.25","3.17","17.08","4.49","4.17","24975","681867"
"Asdrubal Cabrera","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","0.75",".250","100.0%","0","77","137","0.00","3.17","-3.17","5.82","6.25","4962","452678"
"Hanser Alberto","KCR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","197","0.00","3.17","-3.17","8.46","13.47","11902","593643"
