"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Mike Freeman","CIN","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-65","-68","0.00","-2.83","2.83","-2.83","-0.12","11241","502273"
"Kevin Quackenbush","LAD","27.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".750","9.00","1.000","66.7%","659","-67","-68","27.00","-2.83","29.83","-2.83","1.21","12360","534812"
"Romy Gonzalez","CHW","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-62","-64","0.00","-2.83","2.83","-2.83","-0.12","21562","663853"
"Nick Maton","PHI","27.00","0.00","1.00","0.00","100.0%","0.0%","100.0%",".000","0.00",".000","100.0%","0","-67","-68","0.00","-2.83","2.83","-2.83","-0.12","21635","665155"
"Andrew Vasquez","LAD","16.20","0.00","3.00","0.00","50.0%","0.0%","50.0%",".167","0.60",".333","0.0%","0","-11","-11","0.00","-0.43","0.43","-0.43","-0.31","19482","607755"
"Jake Cronenworth","SDP","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","3","66","0.00","0.17","-0.17","2.82","2.09","18036","630105"
"John Schreiber","BOS","15.00","3.00","5.00","0.00","38.5%","7.7%","30.8%",".333","1.67",".571","80.0%","65","20","34","3.00","0.84","2.16","1.42","2.22","20020","670167"
"Ronald Bolanos","KCR","14.21","2.84","5.00","0.00","40.0%","8.0%","32.0%",".174","0.95",".308","83.3%","32","23","62","1.42","0.96","0.46","2.63","2.23","20041","671790"
"Mitch Moreland","OAK","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","29","150","0.00","1.17","-1.17","6.46","6.47","3086","519048"
"Hernan Perez","WSN","9.00","0.00","2.00","0.00","28.6%","0.0%","28.6%",".143","0.50",".200","100.0%","0","27","90","0.00","1.17","-1.17","3.82","3.82","5751","541650"
"Seranthony Dominguez","PHI","9.00","0.00","1.00","0.00","33.3%","0.0%","33.3%",".000","0.00",".000","100.0%","0","26","69","0.00","1.17","-1.17","2.93","2.09","19249","622554"
"Bryan Baker","TOR","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","28","110","0.00","1.17","-1.17","4.70","4.68","19804","641329"
"Jacob deGrom","NYM","14.28","1.08","13.27","0.59","45.1%","3.4%","41.7%",".128","0.55",".213","87.2%","27","29","37","1.08","1.24","-0.16","1.61","1.74","10954","594798"
"Anthony Gose","CLE","12.15","2.70","4.50","0.00","37.5%","8.3%","29.2%",".091","0.60",".154","75.0%","32","33","51","1.35","1.37","-0.02","2.16","2.35","5097","543238"
"Dylan Coleman","KCR","9.95","1.42","7.00","0.00","28.0%","4.0%","24.0%",".208","0.95",".294","83.3%","32","34","92","1.42","1.43","-0.01","3.94","3.29","22276","669395"
"Luis Severino","NYY","12.00","1.50","8.00","0.00","36.4%","4.5%","31.8%",".100","0.50",".167","100.0%","0","35","70","0.00","1.50","-1.50","2.97","2.19","15890","622663"
"Roansy Contreras","PIT","12.00","3.00","4.00","0.00","33.3%","8.3%","25.0%",".273","1.33",".429","100.0%","0","35","77","0.00","1.50","-1.50","3.27","3.19","22810","672710"
"Stephen Ridings","NYY","12.60","3.60","3.50","0.00","35.0%","10.0%","25.0%",".222","1.20",".364","66.7%","42","37","70","1.80","1.57","0.23","2.98","2.90","22358","670050"
"Corbin Burnes","MIL","12.61","1.83","6.88","0.38","35.6%","5.2%","30.4%",".199","0.94",".309","75.7%","58","38","54","2.43","1.63","0.79","2.30","2.61","19361","669203"
"Brad Wieck","CHC","14.82","5.29","2.80","0.00","39.4%","14.1%","25.4%",".164","1.18",".303","100.0%","0","38","73","0.00","1.64","-1.64","3.09","3.04","16390","623364"
"Chaz Roe","TBR","27.00","13.50","2.00","0.00","50.0%","25.0%","25.0%",".333","3.00","1.000","0.0%","654","41","40","27.00","1.67","25.33","1.67","4.01","9866","475054"
"Jhon Romero","WSN","6.75","0.00","3.00","0.00","17.6%","0.0%","17.6%",".294","1.25",".357","60.0%","107","38","102","4.50","1.67","2.83","4.32","3.89","19940","664584"
"Josh Hader","MIL","15.65","3.68","4.25","0.46","45.5%","10.7%","34.8%",".126","0.84",".237","91.9%","29","39","55","1.23","1.69","-0.46","2.35","2.09","14212","623352"
"David Phelps","TOR","13.06","3.48","3.75","0.00","35.7%","9.5%","26.2%",".216","1.16",".364","84.6%","19","41","72","0.87","1.72","-0.85","3.08","2.82","6316","475479"
"Reiver Sanmartin","CIN","8.49","1.54","5.50","0.00","23.4%","4.3%","19.1%",".267","1.20",".353","85.7%","35","40","81","1.54","1.80","-0.26","3.46","3.69","19754","665665"
"Oliver Perez","CLE","9.82","2.45","4.00","0.00","22.2%","5.6%","16.7%",".294","1.64",".385","83.3%","0","43","87","0.00","1.81","-1.81","3.73","3.32","1514","424144"
"Art Warren","CIN","14.57","3.43","4.25","0.43","41.5%","9.8%","31.7%",".151","0.90",".263","91.4%","29","40","62","1.29","1.84","-0.55","2.65","2.31","18251","605521"
"Jimmy Nelson","LAD","13.66","4.03","3.38","0.00","37.9%","11.2%","26.7%",".141","0.93",".255","74.2%","45","44","80","1.86","1.89","-0.03","3.42","2.81","10547","519076"
"Max Schrock","CIN","5.40","0.00","1.00","0.00","16.7%","0.0%","16.7%",".000","0.00",".000","100.0%","0","43","121","0.00","1.97","-1.97","5.15","5.87","17750","621011"
"Jesse Chavez","ATL","9.62","2.94","3.27","0.00","27.1%","8.3%","18.8%",".189","1.01",".267","73.5%","50","48","87","2.14","2.01","0.13","3.69","3.58","5448","445926"
"Ryan Pressly","HOU","11.39","1.83","6.23","0.56","32.4%","5.2%","27.2%",".207","0.97",".296","76.2%","52","49","57","2.25","2.06","0.19","2.43","2.42","7005","519151"
"Austin Warren","LAA","8.85","2.21","4.00","0.00","23.8%","6.0%","17.9%",".205","1.03",".276","77.3%","40","48","87","1.77","2.09","-0.32","3.74","3.41","24937","681810"
"Emmanuel Clase","CLE","9.56","2.07","4.63","0.26","26.5%","5.7%","20.8%",".194","0.96",".262","76.3%","31","50","61","1.29","2.11","-0.82","2.60","2.52","21032","661403"
"Kervin Castro","SFG","8.78","2.70","3.25","0.00","23.2%","7.1%","16.1%",".250","1.28",".333","94.1%","0","52","97","0.00","2.12","-2.12","4.10","3.84","21656","665645"
"Collin McHugh","TBR","10.41","1.69","6.17","0.42","30.0%","4.9%","25.1%",".206","0.94",".288","81.3%","37","52","72","1.55","2.12","-0.58","3.06","2.87","7531","543521"
"Taylor Rogers","MIN","13.17","1.79","7.38","0.89","35.5%","4.8%","30.7%",".241","1.14",".358","69.3%","78","51","50","3.35","2.13","1.22","2.11","2.20","13449","573124"
"Tyler Beede","SFG","18.00","0.00","2.00","0.00","33.3%","0.0%","33.3%",".400","2.00",".667","0.0%","669","53","93","27.00","2.17","24.83","3.93","2.09","16981","595881"
"Angel Zerpa","KCR","7.20","1.80","4.00","0.00","20.0%","5.0%","15.0%",".158","0.80",".200","50.0%","0","51","76","0.00","2.17","-2.17","3.23","4.07","22717","672582"
"Gabe Speier","KCR","5.87","0.00","5.00","0.00","15.2%","0.0%","15.2%",".313","1.30",".370","72.7%","26","53","96","1.17","2.26","-1.08","4.10","3.85","17170","642100"
"Dietrich Enns","TBR","10.07","2.42","4.17","0.40","28.4%","6.8%","21.6%",".207","1.03",".286","69.4%","68","57","94","2.82","2.32","0.50","4.03","3.39","13932","608650"
"Liam Hendriks","CHW","14.32","0.89","16.14","1.39","42.3%","2.6%","39.7%",".174","0.73",".252","79.8%","58","53","50","2.54","2.34","0.20","2.14","1.57","3548","521230"
"James Paxton","SEA","13.50","6.75","2.00","0.00","40.0%","20.0%","20.0%",".000","0.75",".000","0.0%","163","58","57","6.75","2.42","4.33","2.42","4.16","11828","572020"
"Matt Strahm","SDP","5.40","1.35","4.00","0.00","11.1%","2.8%","8.3%",".429","2.40",".484","62.5%","204","57","94","8.10","2.42","5.68","4.01","4.35","13799","621381"
"Craig Kimbrel","- - -","15.08","3.47","4.35","0.91","42.6%","9.8%","32.8%",".148","0.91",".243","78.2%","52","55","62","2.26","2.43","-0.17","2.66","2.23","6655","518886"
"Aaron Loup","NYM","9.05","2.54","3.56","0.16","26.1%","7.3%","18.8%",".187","0.94",".257","86.3%","24","58","79","0.95","2.45","-1.49","3.37","3.32","10343","571901"
"Casey Sadler","SEA","8.26","2.23","3.70","0.22","25.5%","6.9%","18.6%",".142","0.72",".188","90.9%","16","60","76","0.67","2.48","-1.81","3.25","3.06","11209","594987"
"Dakota Hudson","STL","6.23","1.04","6.00","0.00","17.6%","2.9%","14.7%",".219","0.92",".269","77.8%","51","59","92","2.08","2.48","-0.40","3.90","3.47","19206","641712"
"Edwin Diaz","NYM","12.78","3.30","3.87","0.43","34.6%","8.9%","25.7%",".191","1.05",".301","67.8%","86","59","81","3.45","2.48","0.96","3.47","2.84","14710","621242"
"Kirby Snead","TOR","8.22","2.35","3.50","0.00","23.3%","6.7%","16.7%",".259","1.17",".350","70.0%","52","59","80","2.35","2.52","-0.17","3.44","3.62","19179","669912"
"Trevor Rogers","MIA","10.62","3.11","3.41","0.41","28.5%","8.4%","20.2%",".214","1.15",".301","74.9%","63","61","83","2.64","2.55","0.09","3.54","3.72","22286","669432"
"Andrew Bellatti","MIA","10.80","5.40","2.00","0.00","21.1%","10.5%","10.5%",".353","2.40",".462","37.5%","320","61","110","13.50","2.57","10.93","4.69","4.49","10657","571479"
"Jonathan Loaisiga","NYY","8.79","2.04","4.31","0.38","24.4%","5.7%","18.7%",".212","1.02",".276","79.1%","51","60","74","2.17","2.58","-0.41","3.15","3.01","19753","642528"
"Tanner Houck","BOS","11.35","2.74","4.14","0.52","30.5%","7.4%","23.2%",".221","1.13",".317","66.3%","77","60","75","3.52","2.58","0.95","3.20","3.28","19879","656557"
"Zack Wheeler","PHI","10.42","1.94","5.37","0.68","29.1%","5.4%","23.7%",".213","1.01",".288","75.3%","66","59","66","2.78","2.59","0.20","2.84","3.18","10310","554430"
"Scott Barlow","KCR","11.02","3.39","3.25","0.48","29.7%","9.2%","20.6%",".221","1.20",".315","83.1%","54","62","84","2.42","2.63","-0.21","3.59","3.33","14993","605130"
"Carlos Rodon","CHW","12.55","2.44","5.14","0.88","34.6%","6.7%","27.9%",".186","0.96",".267","82.2%","54","60","74","2.37","2.65","-0.28","3.17","2.96","16137","607074"
"Bryan Mitchell","MIA","9.00","4.50","2.00","0.00","22.2%","11.1%","11.1%",".313","1.75",".417","71.4%","107","64","104","4.50","2.67","1.83","4.43","4.18","11479","571951"
"Jace Peterson","MIL","9.00","4.50","2.00","0.00","18.2%","9.1%","9.1%",".400","2.50",".500","60.0%","214","62","83","9.00","2.67","6.33","3.55","4.03","12325","607054"
"Yefry Ramirez","LAD","9.00","4.50","2.00","0.00","33.3%","16.7%","16.7%",".000","0.50",".000","100.0%","0","62","62","0.00","2.67","-2.67","2.67","3.53","15655","606162"
"David Bednar","PIT","11.42","2.82","4.05","0.74","32.5%","8.0%","24.5%",".184","0.97",".259","84.9%","52","63","75","2.23","2.69","-0.47","3.19","2.92","19569","670280"
"A.J. Minter","ATL","9.80","3.44","2.85","0.34","25.8%","9.0%","16.7%",".220","1.22",".298","61.1%","89","64","90","3.78","2.69","1.09","3.81","3.69","18655","621345"
"Pete Fairbanks","TBR","11.81","4.43","2.67","0.42","29.6%","11.1%","18.5%",".240","1.43",".349","67.6%","87","66","89","3.59","2.70","0.88","3.79","3.58","17998","664126"
"Ranger Suarez","PHI","9.08","2.80","3.24","0.34","25.6%","7.9%","17.7%",".192","1.00",".257","86.3%","32","62","79","1.36","2.72","-1.36","3.38","3.51","17277","624133"
"Logan Webb","SFG","9.59","2.18","4.39","0.55","26.5%","6.0%","20.5%",".232","1.11",".309","74.7%","75","67","65","3.03","2.72","0.32","2.79","3.13","17995","657277"
"Luis Garcia","STL","9.18","2.16","4.25","0.54","25.2%","5.9%","19.3%",".198","0.99",".256","70.5%","79","65","83","3.24","2.72","0.52","3.53","3.36","6984","472610"
"Ryan Tepera","- - -","10.86","2.79","3.89","0.59","30.8%","7.9%","22.9%",".161","0.88",".223","74.4%","66","64","85","2.79","2.73","0.06","3.64","3.08","10291","572193"
"Giovanny Gallegos","STL","10.64","2.24","4.75","0.67","30.6%","6.5%","24.2%",".180","0.88",".246","71.4%","74","65","87","3.02","2.75","0.28","3.69","3.01","14986","606149"
"Tanner Anderson","PIT","1.80","0.00","1.00","0.00","5.3%","0.0%","5.3%",".263","1.00",".278","60.0%","85","65","90","3.60","2.77","0.83","3.83","3.03","18029","664196"
"Tyler Glasnow","TBR","12.58","2.76","4.56","1.02","36.2%","7.9%","28.2%",".176","0.93",".250","82.4%","64","68","63","2.66","2.77","-0.11","2.70","2.92","14374","607192"
"Nathan Eovaldi","BOS","9.63","1.73","5.57","0.74","25.5%","4.6%","20.9%",".252","1.19",".326","70.4%","82","65","81","3.75","2.79","0.96","3.48","3.60","9132","543135"
"Miguel Del Pozo","DET","6.75","3.38","2.00","0.00","16.0%","8.0%","8.0%",".348","1.88",".421","80.0%","78","66","111","3.38","2.80","0.58","4.78","4.92","18792","600887"
"Garrett Crochet","CHW","10.77","4.47","2.41","0.33","28.3%","11.7%","16.5%",".208","1.27",".296","71.4%","64","63","92","2.82","2.80","0.01","3.95","3.82","27463","676979"
"Dylan Floro","MIA","8.72","3.52","2.48","0.28","23.0%","9.3%","13.7%",".216","1.22",".282","70.5%","67","67","93","2.81","2.81","0.00","3.95","3.93","13394","571670"
"Devin Williams","MIL","14.50","4.67","3.11","0.83","38.5%","12.4%","26.1%",".184","1.19",".298","83.1%","59","66","68","2.50","2.82","-0.32","2.92","2.90","15816","642207"
"Raisel Iglesias","LAA","13.24","1.54","8.58","1.41","37.7%","4.4%","33.3%",".204","0.93",".288","81.0%","58","65","54","2.57","2.83","-0.26","2.30","2.06","17130","628452"
"Josh Taylor","BOS","11.33","4.34","2.61","0.38","28.7%","11.0%","17.7%",".246","1.43",".355","77.7%","74","66","86","3.40","2.83","0.56","3.66","3.63","17359","657031"
"Lucas Luetge","NYY","9.71","1.87","5.20","0.75","25.9%","5.0%","20.9%",".237","1.13",".307","71.8%","65","66","86","2.74","2.84","-0.10","3.66","3.27","8337","476595"
"Garrett Whitlock","BOS","9.94","2.09","4.76","0.74","27.2%","5.7%","21.5%",".230","1.10",".304","82.0%","43","66","75","1.96","2.84","-0.88","3.22","3.06","20191","676477"
"Jimmy Herget","- - -","9.64","1.93","5.00","0.48","25.6%","5.1%","20.5%",".282","1.29",".380","58.6%","121","65","86","5.30","2.85","2.45","3.66","3.22","17556","623474"
"Blake Treinen","LAD","10.58","3.11","3.40","0.62","29.7%","8.7%","21.0%",".178","0.98",".244","80.6%","49","67","76","1.99","2.88","-0.89","3.25","3.15","12572","595014"
"Corey Knebel","LAD","10.52","3.16","3.33","0.70","29.7%","8.9%","20.8%",".174","0.97",".233","76.6%","60","67","76","2.45","2.90","-0.44","3.26","3.33","15010","608349"
"Gerrit Cole","NYY","12.06","2.03","5.93","1.19","33.5%","5.6%","27.8%",".221","1.06",".305","77.9%","76","68","69","3.23","2.92","0.30","2.93","2.93","13125","543037"
"Alex Cobb","LAA","9.45","3.18","2.97","0.48","24.9%","8.4%","16.5%",".238","1.26",".315","65.8%","85","67","79","3.76","2.92","0.84","3.38","3.83","6562","502171"
"Joe Mantiply","ARI","8.62","3.86","2.24","0.23","21.5%","9.6%","11.9%",".283","1.56",".367","63.3%","81","71","95","3.40","2.94","0.46","4.04","4.15","14857","573009"
"Spencer Turnbull","DET","7.92","2.16","3.67","0.36","21.9%","6.0%","15.9%",".201","0.98",".254","70.3%","66","70","88","2.88","2.95","-0.07","3.77","3.82","16207","605513"
