"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Justin Wilson","CIN","17.18","0.00","7.00","0.00","53.8%","0.0%","53.8%",".231","0.82",".500","66.7%","57","-15","4","2.45","-0.71","3.16","0.10","0.22","4301","458677"
"Jermaine Palacios","MIN","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","1","59","0.00","0.11","-0.11","2.33","1.76","18371","650339"
"Bowden Francis","TOR","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","1","1","0.00","0.11","-0.11","0.11","1.02","20548","670102"
"Freddy Tarnok","ATL","13.50","0.00","1.00","0.00","33.3%","0.0%","33.3%",".333","1.50",".500","100.0%","0","4","4","0.00","0.11","-0.11","0.11","1.02","23324","676206"
"Shelby Miller","SFG","18.00","3.86","4.67","0.00","46.7%","10.0%","36.7%",".222","1.29",".462","44.4%","163","12","43","6.43","0.40","6.03","1.67","1.61","10197","571946"
"Sean Doolittle","WSN","10.13","0.00","6.00","0.00","35.3%","0.0%","35.3%",".059","0.19",".091","100.0%","0","23","78","0.00","0.86","-0.86","3.08","2.15","1581","448281"
"Pete Fairbanks","TBR","14.25","1.13","12.67","0.38","43.7%","3.4%","40.2%",".155","0.67",".267","89.0%","30","21","27","1.13","0.86","0.26","1.12","1.09","17998","664126"
"Edwin Diaz","NYM","17.13","2.61","6.56","0.44","50.2%","7.7%","42.6%",".158","0.84",".330","90.4%","34","24","27","1.31","0.90","0.40","1.04","1.11","14710","621242"
"Luis F. Castillo","DET","9.82","0.00","4.00","0.00","28.6%","0.0%","28.6%",".143","0.55",".200","100.0%","0","23","43","0.00","0.93","-0.93","1.74","1.31","20638","622379"
"Michel Baez","SDP","9.00","0.00","2.00","0.00","28.6%","0.0%","28.6%",".143","0.50",".200","100.0%","0","29","65","0.00","1.11","-1.11","2.59","2.23","20100","673258"
"Nick Duron","PHI","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".500","2.00",".667","100.0%","0","28","29","0.00","1.11","-1.11","1.11","-0.92","21092","663975"
"Yerry Rodriguez","TEX","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","27","65","0.00","1.11","-1.11","2.59","2.05","21955","666720"
"Cam Alldred","PIT","9.00","0.00","1.00","0.00","25.0%","0.0%","25.0%",".250","1.00",".333","100.0%","0","29","65","0.00","1.11","-1.11","2.59","2.05","25078","682027"
"Bryce Montes de Oca","NYM","16.20","5.40","3.00","0.00","31.6%","10.5%","21.1%",".412","2.70",".636","55.6%","278","34","56","10.80","1.31","9.49","2.20","2.83","21319","656755"
"Jhon Romero","MIN","10.80","1.80","6.00","0.00","25.0%","4.2%","20.8%",".391","2.00",".529","80.0%","93","32","40","3.60","1.31","2.29","1.61","1.56","19940","664584"
"Jay Jackson","ATL","6.75","0.00","1.00","0.00","20.0%","0.0%","20.0%",".200","0.75",".250","100.0%","0","42","96","0.00","1.61","-1.61","3.83","4.47","7432","543351"
"Cooper Criswell","TBR","10.80","2.70","4.00","0.00","30.8%","7.7%","23.1%",".167","0.90",".250","66.7%","72","41","74","2.70","1.61","1.09","2.94","2.90","24975","681867"
"DL Hall","BAL","12.51","3.95","3.17","0.00","29.7%","9.4%","20.3%",".293","1.68",".436","60.9%","155","41","72","5.93","1.65","4.28","2.84","3.03","22207","669084"
"J.P. Feyereisen","TBR","9.25","1.85","5.00","0.00","29.1%","5.8%","23.3%",".086","0.49",".125","91.7%","0","43","90","0.00","1.67","-1.67","3.56","2.93","16610","656420"
"Chris Paddack","MIN","8.06","0.81","10.00","0.00","21.5%","2.2%","19.4%",".278","1.21",".357","64.3%","104","43","80","4.03","1.72","2.31","3.18","3.41","20099","663978"
"Tyler Kinley","COL","10.13","2.25","4.50","0.00","27.0%","6.0%","21.0%",".226","1.13",".318","82.1%","16","42","79","0.75","1.74","-0.99","3.16","2.91","18297","641755"
"Jovani Moran","MIN","11.95","3.98","3.00","0.00","32.9%","11.0%","22.0%",".171","1.06",".272","74.4%","57","44","73","2.21","1.78","0.43","2.88","2.86","20422","663558"
"Spencer Strider","ATL","13.81","3.08","4.49","0.48","38.3%","8.5%","29.7%",".179","0.99",".292","74.1%","65","48","58","2.67","1.83","0.84","2.30","2.41","27498","675911"
"Erik Swanson","SEA","11.74","1.68","7.00","0.50","34.0%","4.9%","29.1%",".200","0.91",".295","85.2%","46","48","68","1.68","1.85","-0.17","2.72","2.19","16587","657024"
"Adbert Alzolay","CHC","12.83","1.35","9.50","0.68","36.5%","3.8%","32.7%",".184","0.83",".276","66.0%","86","50","58","3.38","1.91","1.46","2.27","1.78","17859","640470"
"Jose Alvarado","PHI","14.29","4.24","3.38","0.35","37.9%","11.2%","26.6%",".201","1.22",".340","69.8%","78","48","55","3.18","1.92","1.26","2.16","2.37","17780","621237"
"Reynaldo Lopez","CHW","8.68","1.52","5.73","0.14","24.8%","4.3%","20.5%",".211","0.95",".281","63.3%","70","47","83","2.76","1.93","0.82","3.28","3.02","16400","625643"
"Evan Phillips","LAD","11.00","2.14","5.13","0.29","33.0%","6.4%","26.6%",".153","0.76",".228","83.0%","29","49","69","1.14","1.94","-0.79","2.72","2.34","17734","623465"
"Kevin Herget","TBR","5.14","0.00","4.00","0.00","13.3%","0.0%","13.3%",".300","1.29",".346","33.3%","206","51","120","7.71","1.97","5.74","4.72","4.31","15369","643361"
"Hunter Brown","HOU","9.74","3.10","3.14","0.00","27.5%","8.8%","18.8%",".205","1.08",".294","90.9%","23","50","70","0.89","1.98","-1.10","2.78","2.87","25880","686613"
"Emmanuel Clase","CLE","9.54","1.24","7.70","0.37","28.4%","3.7%","24.7%",".165","0.73",".222","72.3%","35","50","55","1.36","1.98","-0.62","2.18","1.95","21032","661403"
"Joe Jimenez","DET","12.23","2.06","5.92","0.64","33.3%","5.6%","27.7%",".225","1.09",".328","67.4%","91","51","68","3.49","2.00","1.49","2.70","2.30","15761","641729"
"Devin Williams","MIL","14.24","4.45","3.20","0.30","40.0%","12.5%","27.5%",".150","1.01",".266","76.8%","48","51","60","1.93","2.01","-0.08","2.36","2.43","15816","642207"
"Andres Munoz","SEA","13.29","2.08","6.40","0.69","38.7%","6.0%","32.7%",".188","0.89",".297","76.4%","68","53","51","2.49","2.04","0.46","2.04","1.74","20373","662253"
"Daniel Hudson","LAD","11.10","1.85","6.00","0.37","30.9%","5.2%","25.8%",".189","0.90",".271","75.2%","56","51","61","2.22","2.04","0.18","2.42","2.23","7146","543339"
"Hunter Harvey","WSN","10.30","2.75","3.75","0.23","28.7%","7.6%","21.0%",".228","1.14",".323","75.7%","63","52","85","2.52","2.07","0.45","3.40","2.96","15507","640451"
"Cody Stashak","MIN","8.27","0.00","15.00","0.55","23.1%","0.0%","23.1%",".246","0.98",".306","61.6%","100","52","92","3.86","2.07","1.79","3.63","3.24","18088","664054"
"Phoenix Sanders","TBR","7.36","1.84","4.00","0.00","21.1%","5.3%","15.8%",".222","1.02",".286","66.7%","82","54","94","3.07","2.09","0.98","3.70","3.52","20541","676637"
"John Means","BAL","7.88","2.25","3.50","0.00","20.6%","5.9%","14.7%",".250","1.25",".320","70.0%","88","53","96","3.38","2.11","1.26","3.78","3.99","16269","607644"
"Luis Gil","NYY","11.25","4.50","2.50","0.00","26.3%","10.5%","15.8%",".294","1.75",".417","42.9%","231","51","81","9.00","2.11","6.89","3.22","3.81","21052","661563"
"Cody Sedlock","BAL","9.00","3.00","3.00","0.00","18.8%","6.3%","12.5%",".400","2.33",".500","28.6%","392","53","91","15.00","2.11","12.89","3.59","3.71","19357","642060"
"Bryan Abreu","HOU","13.13","3.88","3.38","0.30","35.5%","10.5%","25.0%",".206","1.18",".336","81.7%","51","53","68","1.94","2.12","-0.18","2.69","2.56","16609","650556"
"Alex Vesia","LAD","13.09","3.98","3.29","0.33","34.8%","10.6%","24.2%",".184","1.12",".292","81.4%","54","53","76","2.15","2.12","0.03","3.03","2.68","25007","681911"
"A.J. Minter","ATL","12.09","1.93","6.27","0.64","34.7%","5.5%","29.2%",".194","0.91",".286","76.7%","50","55","68","2.06","2.13","-0.07","2.68","2.13","18655","621345"
"Jacob deGrom","NYM","14.27","1.12","12.75","1.26","42.7%","3.3%","39.3%",".173","0.75",".258","73.4%","79","54","39","3.08","2.13","0.94","1.53","1.59","10954","594798"
"Chris Martin","- - -","11.89","0.80","14.80","0.96","32.9%","2.2%","30.7%",".228","0.98",".317","75.6%","78","56","51","3.05","2.18","0.87","2.01","1.87","11847","455119"
"Trevor Stephan","CLE","11.59","2.54","4.56","0.42","30.7%","6.7%","24.0%",".233","1.18",".338","73.5%","70","55","71","2.69","2.19","0.50","2.81","2.55","19932","663986"
"Michael King","NYY","11.65","2.82","4.13","0.53","33.2%","8.0%","25.1%",".191","1.00",".281","76.9%","59","54","61","2.29","2.23","0.06","2.42","2.44","19853","650633"
"Carlos Rodon","SFG","11.98","2.63","4.56","0.61","33.4%","7.3%","26.1%",".200","1.03",".293","75.1%","73","59","73","2.88","2.25","0.63","2.91","2.83","16137","607074"
"Jake Hager","ARI","3.86","0.00","1.00","0.00","10.0%","0.0%","10.0%",".300","1.29",".333","33.3%","188","59","104","7.71","2.26","5.46","4.16","4.46","12198","606993"
"Yonny Chirinos","TBR","7.71","1.29","6.00","0.00","20.0%","3.3%","16.7%",".250","1.14",".318","100.0%","0","58","78","0.00","2.26","-2.26","3.10","2.44","16401","630023"
"James Karinchak","CLE","14.31","4.85","2.95","0.46","38.8%","13.1%","25.6%",".159","1.10",".270","85.0%","54","58","78","2.08","2.29","-0.21","3.11","2.68","20151","675916"
"Ryan Pressly","HOU","12.10","2.42","5.00","0.74","35.7%","7.1%","28.6%",".178","0.89",".260","69.5%","78","58","55","2.98","2.31","0.67","2.21","2.14","7005","519151"
"Ryan Helsley","STL","13.08","2.78","4.70","0.84","39.3%","8.4%","31.0%",".128","0.74",".185","93.4%","32","60","66","1.25","2.34","-1.09","2.60","2.02","18138","664854"
"Hector Neris","HOU","10.88","2.34","4.65","0.41","30.0%","6.5%","23.6%",".204","1.01",".291","63.4%","97","59","83","3.72","2.35","1.37","3.29","2.70","11804","593576"
"Ryan Castellani","OAK","3.38","0.00","1.00","0.00","9.1%","0.0%","9.1%",".182","0.75",".200","50.0%","0","61","88","0.00","2.36","-2.36","3.47","3.27","16377","624418"
"Rob Zastryzny","- - -","6.75","2.25","3.00","0.00","18.8%","6.3%","12.5%",".200","1.00",".250","0.0%","172","58","107","6.75","2.36","4.39","4.21","3.92","15094","642239"
"Kevin Gausman","TOR","10.56","1.44","7.32","0.77","28.3%","3.9%","24.4%",".270","1.24",".363","74.0%","87","60","69","3.35","2.38","0.97","2.75","2.94","14107","592332"
"Shohei Ohtani","LAA","11.87","2.39","4.98","0.76","33.2%","6.7%","26.5%",".202","1.01",".289","83.1%","59","59","67","2.33","2.40","-0.07","2.65","2.73","19755","660271"
"Chris Sale","BOS","7.94","1.59","5.00","0.00","20.0%","4.0%","16.0%",".217","1.06",".278","57.1%","77","60","81","3.18","2.41","0.77","3.19","3.33","10603","519242"
"Caleb Thielbar","MIN","12.13","2.73","4.44","0.76","32.7%","7.3%","25.3%",".225","1.16",".324","69.4%","90","61","78","3.49","2.42","1.07","3.07","2.59","10078","573204"
"David Bednar","PIT","12.02","2.79","4.31","0.70","32.9%","7.6%","25.2%",".218","1.12",".317","74.9%","63","61","71","2.61","2.44","0.18","2.83","2.53","19569","670280"
"Kyle Barraclough","LAA","9.00","4.00","2.25","0.00","24.3%","10.8%","13.5%",".212","1.22",".292","72.7%","76","60","108","3.00","2.45","0.55","4.26","3.97","13713","607457"
"Easton McGee","TBR","3.00","0.00","1.00","0.00","7.1%","0.0%","7.1%",".286","1.33",".308","75.0%","0","63","138","0.00","2.45","-2.45","5.41","5.49","22176","668834"
"Scott Effross","- - -","9.85","2.38","4.13","0.48","27.1%","6.6%","20.5%",".211","1.06",".284","66.9%","65","63","80","2.54","2.46","0.08","3.18","2.95","18384","664123"
"Raisel Iglesias","- - -","11.32","2.03","5.57","0.73","31.7%","5.7%","26.0%",".201","0.97",".281","76.8%","62","62","76","2.47","2.47","0.00","2.99","2.46","17130","628452"
