"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Sam Hentges","CLE","10.45","2.76","3.79","0.44","29.4%","7.8%","21.6%",".184","0.97",".257","78.2%","60","63","67","2.32","2.48","-0.16","2.67","2.51","18548","656529"
"Justin Verlander","HOU","9.51","1.49","6.38","0.62","27.8%","4.4%","23.4%",".184","0.83",".240","80.5%","46","63","82","1.75","2.49","-0.74","3.23","3.09","8700","434378"
"Andre Jackson","LAD","8.38","3.72","2.25","0.00","21.4%","9.5%","11.9%",".237","1.34",".310","76.9%","47","62","101","1.86","2.49","-0.63","4.02","3.87","21298","656578"
"John Schreiber","BOS","10.25","2.63","3.89","0.42","28.8%","7.4%","21.4%",".192","0.98",".268","76.8%","54","62","76","2.22","2.50","-0.28","3.01","2.71","20020","670167"
"Garrett Cleavinger","- - -","12.52","2.74","4.57","0.78","34.8%","7.6%","27.2%",".167","0.91",".240","52.1%","102","63","68","3.91","2.50","1.41","2.72","2.33","17897","664076"
"Jhoan Duran","MIN","11.84","2.13","5.56","0.80","33.5%","6.0%","27.4%",".203","0.98",".291","89.3%","48","63","53","1.86","2.52","-0.66","2.11","1.96","21029","661395"
"Clayton Kershaw","LAD","9.76","1.64","5.96","0.71","27.8%","4.7%","23.1%",".205","0.94",".268","79.4%","58","64","71","2.28","2.57","-0.29","2.83","2.98","2036","477132"
"Parker Mushinski","HOU","9.82","3.68","2.67","0.00","26.7%","10.0%","16.7%",".192","1.09",".278","66.7%","96","65","91","3.68","2.57","1.11","3.58","3.29","21324","656786"
"Aaron Nola","PHI","10.32","1.27","8.10","0.83","29.1%","3.6%","25.5%",".218","0.96",".289","73.0%","80","64","70","3.25","2.58","0.67","2.77","2.80","16149","605400"
"Luis Garcia","SDP","10.03","2.51","4.00","0.44","26.3%","6.6%","19.7%",".241","1.21",".325","68.2%","88","66","78","3.39","2.60","0.79","3.11","2.85","6984","472610"
"Nick Mears","PIT","9.00","4.50","2.00","0.00","25.0%","12.5%","12.5%",".143","1.00",".200","100.0%","0","66","102","0.00","2.61","-2.61","4.09","3.96","25376","683232"
"William Woods","ATL","9.00","4.50","2.00","0.00","25.0%","12.5%","12.5%",".286","1.50",".400","100.0%","0","67","102","0.00","2.61","-2.61","4.09","4.09","25075","682016"
"Max Scherzer","NYM","10.71","1.49","7.21","0.81","30.6%","4.2%","26.4%",".204","0.91",".276","83.3%","59","66","81","2.29","2.62","-0.33","3.23","2.88","3137","453286"
"Enyel De Los Santos","CLE","10.29","2.87","3.59","0.51","28.4%","7.9%","20.5%",".204","1.07",".280","74.8%","79","67","80","3.04","2.62","0.41","3.17","2.98","18403","660853"
"Rafael Montero","HOU","9.61","3.03","3.17","0.40","27.0%","8.5%","18.5%",".192","1.02",".260","73.7%","62","67","81","2.37","2.64","-0.27","3.22","3.05","12760","606160"
"Dylan Lee","ATL","10.48","1.78","5.90","0.89","29.4%","5.0%","24.4%",".209","0.99",".276","79.1%","52","69","78","2.13","2.66","-0.53","3.10","2.64","19996","669276"
"Liam Hendriks","CHW","13.27","2.50","5.31","1.09","36.2%","6.8%","29.4%",".203","1.04",".296","76.6%","72","65","66","2.81","2.68","0.13","2.64","2.14","3548","521230"
"Luke Weaver","- - -","9.59","3.28","2.92","0.25","21.8%","7.5%","14.4%",".329","1.82",".429","58.6%","161","69","97","6.56","2.69","3.87","3.82","3.64","16918","596133"
"Max Fried","ATL","8.26","1.55","5.31","0.58","23.2%","4.4%","18.8%",".224","1.01",".280","78.2%","61","70","78","2.48","2.70","-0.23","3.09","3.31","13743","608331"
"Collin McHugh","ATL","9.74","1.82","5.36","0.65","27.6%","5.1%","22.4%",".202","0.94",".266","79.4%","64","70","82","2.60","2.71","-0.11","3.24","2.78","7531","543521"
"Denyi Reyes","BAL","3.52","1.17","3.00","0.00","9.7%","3.2%","6.5%",".267","1.17",".296","77.8%","61","69","118","2.35","2.72","-0.37","4.65","4.82","20526","660593"
"Jake Walsh","STL","16.88","6.75","2.50","0.00","33.3%","13.3%","20.0%",".250","1.88",".429","33.3%","340","70","110","13.50","2.74","10.76","4.40","3.18","20227","673904"
"Jordan Holloway","MIA","6.75","3.38","2.00","0.00","18.2%","9.1%","9.1%",".300","1.50",".375","75.0%","82","69","83","3.38","2.74","0.64","3.29","3.70","20631","656548"
"Aneurys Zabala","MIA","6.75","3.38","2.00","0.00","18.2%","9.1%","9.1%",".300","1.50",".375","100.0%","0","69","124","0.00","2.74","-2.74","4.96","4.66","20802","656008"
"Kevin Ginkel","ARI","9.20","3.38","2.73","0.31","24.2%","8.9%","15.3%",".241","1.30",".321","66.5%","82","71","90","3.38","2.74","0.64","3.61","3.44","19876","656464"
"Bryan Baker","BAL","9.82","3.36","2.92","0.39","26.1%","8.9%","17.2%",".229","1.23",".311","70.8%","91","69","90","3.49","2.74","0.75","3.56","3.35","19804","641329"
"Brooks Raley","TBR","10.23","2.52","4.07","0.50","27.9%","6.8%","21.0%",".187","0.97",".254","72.5%","72","71","83","2.68","2.74","-0.06","3.28","2.92","10061","548384"
"Pierce Johnson","SDP","13.19","5.02","2.63","0.63","32.8%","12.5%","20.3%",".250","1.53",".382","68.0%","130","70","70","5.02","2.76","2.26","2.79","2.99","13435","572955"
"Jason Foley","DET","6.41","1.64","3.91","0.30","16.8%","4.3%","12.5%",".296","1.38",".354","70.6%","101","70","90","3.88","2.76","1.11","3.56","3.36","19531","671345"
"Luis F. Ortiz","SFG","6.23","3.12","2.00","0.00","18.2%","9.1%","9.1%",".167","0.92",".208","87.5%","26","73","112","1.04","2.77","-1.73","4.47","4.33","16942","656814"
"Zach Jackson","OAK","12.56","6.19","2.03","0.19","33.2%","16.3%","16.8%",".168","1.27",".273","73.1%","80","72","105","3.00","2.78","0.22","4.14","3.71","19493","667427"
"Alex Cobb","SFG","9.08","2.59","3.51","0.54","23.9%","6.8%","17.1%",".260","1.30",".336","68.0%","94","73","73","3.73","2.80","0.93","2.89","3.15","6562","502171"
"Blake Snell","SDP","12.02","3.59","3.35","0.77","32.0%","9.5%","22.4%",".214","1.20",".307","74.7%","87","71","81","3.38","2.80","0.58","3.21","3.20","13543","605483"
"Cionel Perez","BAL","8.58","3.28","2.62","0.31","23.5%","9.0%","14.5%",".217","1.16",".284","87.4%","37","71","90","1.40","2.80","-1.40","3.56","3.48","19614","672335"
"Jordan Romano","TOR","10.27","2.95","3.48","0.56","28.3%","8.1%","20.2%",".189","1.02",".256","80.4%","55","71","87","2.11","2.82","-0.71","3.44","3.02","16122","605447"
"Jimmy Herget","LAA","8.22","1.96","4.20","0.52","23.7%","5.6%","18.0%",".194","0.91",".243","76.2%","63","69","88","2.48","2.82","-0.34","3.48","3.26","17556","623474"
"Joe Mantiply","ARI","9.15","0.90","10.17","0.90","25.1%","2.5%","22.6%",".252","1.08",".317","77.2%","70","74","64","2.85","2.83","0.02","2.52","2.40","14857","573009"
"Jake Fishman","MIA","4.91","0.00","6.00","0.00","12.5%","0.0%","12.5%",".289","1.18",".333","68.8%","99","72","105","4.09","2.84","1.25","4.19","3.71","20060","670288"
"Clay Holmes","NYY","9.19","2.83","3.25","0.28","25.0%","7.7%","17.3%",".195","1.02",".262","74.4%","65","70","73","2.54","2.85","-0.30","2.90","2.28","13649","605280"
"Chad Green","NYY","9.60","3.00","3.20","0.60","25.8%","8.1%","17.7%",".228","1.20",".300","72.3%","77","70","105","3.00","2.85","0.15","4.15","3.60","15552","643338"
"Adam Ottavino","NYM","10.83","2.19","4.94","0.82","30.6%","6.2%","24.4%",".203","0.97",".276","89.1%","53","72","70","2.06","2.85","-0.80","2.79","2.45","1247","493603"
"Jason Adam","TBR","10.66","2.42","4.41","0.71","31.6%","7.2%","24.5%",".145","0.76",".194","89.4%","42","74","80","1.56","2.86","-1.30","3.17","2.57","11861","592094"
"Kyle Tyler","SDP","4.50","2.25","2.00","0.00","14.3%","7.1%","7.1%",".154","0.75",".182","100.0%","0","73","90","0.00","2.86","-2.86","3.60","3.52","22092","667725"
"Daniel Bard","COL","10.29","3.73","2.76","0.45","28.2%","10.2%","18.0%",".161","0.99",".221","81.6%","39","69","83","1.79","2.86","-1.07","3.30","3.17","7115","453268"
"Wandy Peralta","NYY","7.51","2.72","2.76","0.32","21.1%","7.6%","13.5%",".205","1.05",".256","71.7%","70","70","91","2.72","2.86","-0.15","3.61","3.51","14295","593974"
"Shane Bieber","CLE","8.91","1.62","5.50","0.81","25.0%","4.6%","20.5%",".228","1.04",".287","75.8%","75","73","75","2.88","2.87","0.01","2.98","3.21","19427","669456"
"Andrew Bellatti","PHI","12.92","4.14","3.12","0.83","33.9%","10.9%","23.0%",".230","1.33",".347","72.7%","82","71","85","3.31","2.87","0.44","3.37","2.88","10657","571479"
"Giovanny Gallegos","STL","11.14","2.75","4.06","0.92","31.1%","7.7%","23.4%",".194","1.02",".261","71.7%","77","74","88","3.05","2.88","0.18","3.51","2.89","14986","606149"
"Scott Alexander","SFG","5.19","0.52","10.00","0.52","15.9%","1.6%","14.3%",".194","0.75",".216","94.8%","26","75","67","1.04","2.88","-1.84","2.64","2.02","10591","518397"
"Alex Young","- - -","7.09","3.71","1.91","0.00","18.1%","9.5%","8.6%",".279","1.50",".349","73.2%","60","76","101","2.36","2.89","-0.52","4.05","3.98","18333","622065"
"Zack Wheeler","PHI","9.59","2.00","4.79","0.76","26.9%","5.6%","21.3%",".221","1.04",".287","77.1%","70","71","77","2.82","2.89","-0.07","3.06","3.19","10310","554430"
"Felix Bautista","BAL","12.06","3.15","3.83","0.96","34.8%","9.1%","25.7%",".166","0.93",".231","84.3%","57","74","70","2.19","2.91","-0.72","2.77","2.49","20666","642585"
"Bailey Ober","MIN","8.20","1.77","4.64","0.64","22.5%","4.8%","17.6%",".224","1.05",".277","70.4%","83","74","106","3.21","2.92","0.30","4.18","3.99","21224","641927"
"Duane Underwood Jr.","PIT","8.95","3.92","2.28","0.16","22.0%","9.7%","12.4%",".253","1.45",".333","61.2%","106","73","98","4.40","2.92","1.47","3.91","3.74","14677","621249"
"Marcos Diplan","BAL","12.71","7.94","1.60","0.00","29.6%","18.5%","11.1%",".182","1.59",".286","77.8%","41","74","94","1.59","2.94","-1.35","3.72","4.32","17583","650959"
"Brayan Bello","BOS","8.63","4.24","2.04","0.16","20.5%","10.1%","10.4%",".314","1.78",".404","68.2%","114","74","96","4.71","2.94","1.77","3.80","4.07","23920","678394"
"Peter Strzelecki","MIL","10.29","3.86","2.67","0.51","27.0%","10.1%","16.9%",".212","1.23",".289","75.2%","70","73","95","2.83","2.94","-0.11","3.81","3.47","21367","657265"
"Brusdar Graterol","LAD","7.79","1.81","4.30","0.54","21.8%","5.1%","16.8%",".212","0.99",".261","66.9%","82","73","78","3.26","2.95","0.31","3.12","2.75","20367","660813"
"Zach Pop","- - -","5.77","0.92","6.25","0.46","15.9%","2.5%","13.4%",".272","1.15",".315","76.9%","69","75","87","2.77","2.96","-0.19","3.43","3.21","20185","647315"
"Tarik Skubal","DET","8.95","2.45","3.66","0.69","24.5%","6.7%","17.8%",".234","1.16",".299","67.5%","91","76","86","3.52","2.96","0.56","3.40","3.58","22267","669373"
"Tyler Glasnow","TBR","13.50","2.70","5.00","1.35","38.5%","7.7%","30.8%",".167","0.90",".231","100.0%","36","77","65","1.35","2.96","-1.61","2.57","2.36","14374","607192"
"Austin Brice","PIT","6.75","4.05","1.67","0.00","18.5%","11.1%","7.4%",".167","1.05",".211","57.1%","98","74","107","4.05","2.96","1.09","4.29","4.31","17237","592169"
"Matt Moore","TEX","10.09","4.62","2.18","0.36","27.3%","12.5%","14.8%",".185","1.18",".257","81.1%","50","74","98","1.95","2.98","-1.03","3.87","3.69","1890","519043"
"Camilo Doval","SFG","10.64","3.99","2.67","0.53","28.0%","10.5%","17.5%",".213","1.24",".296","73.7%","64","78","77","2.53","2.98","-0.45","3.04","3.07","21992","666808"
"Sandy Alcantara","MIA","8.15","1.97","4.14","0.63","23.4%","5.6%","17.7%",".210","0.98",".262","78.8%","55","75","83","2.28","2.99","-0.70","3.29","3.42","18684","645261"
"George Kirby","SEA","9.21","1.52","6.05","0.90","24.5%","4.1%","20.5%",".262","1.21",".331","75.1%","93","78","84","3.39","2.99","0.40","3.33","3.32","25436","669923"
"Jose Quintana","- - -","7.44","2.55","2.91","0.43","20.2%","6.9%","13.3%",".245","1.21",".302","74.2%","72","76","93","2.93","2.99","-0.06","3.72","4.02","11423","500779"
"Caleb Ferguson","LAD","9.61","4.41","2.18","0.26","26.1%","12.0%","14.1%",".187","1.15",".259","81.3%","46","74","97","1.82","3.00","-1.18","3.86","3.74","19349","657571"
"Drew Carlton","DET","7.27","0.00","7.00","1.04","21.9%","0.0%","21.9%",".125","0.46",".125","0.0%","54","77","81","2.08","3.00","-0.92","3.21","2.87","19868","656290"
"Anthony Bass","- - -","9.34","2.56","3.65","0.77","26.5%","7.3%","19.3%",".200","1.01",".256","89.5%","38","76","84","1.54","3.00","-1.46","3.34","3.11","7982","542914"
"Shane McClanahan","TBR","10.50","2.06","5.11","1.03","30.3%","5.9%","24.3%",".193","0.93",".251","80.5%","68","78","65","2.54","3.00","-0.46","2.60","2.82","21483","663556"
"Mark Appel","PHI","4.35","2.61","1.67","0.00","12.5%","7.5%","5.0%",".243","1.16",".281","83.3%","43","74","108","1.74","3.02","-1.27","4.31","4.33","14823","571446"
"Ryne Stanek","HOU","10.21","5.10","2.00","0.33","27.7%","13.8%","13.8%",".187","1.23",".264","91.9%","30","77","100","1.15","3.02","-1.87","3.95","3.85","15947","592773"
"Lucas Luetge","NYY","9.42","2.67","3.53","0.63","23.9%","6.8%","17.1%",".274","1.40",".355","82.9%","69","74","100","2.67","3.03","-0.36","3.95","3.41","8337","476595"
"Buck Farmer","CIN","10.34","4.79","2.16","0.38","27.1%","12.6%","14.6%",".208","1.30",".291","69.3%","89","72","97","3.83","3.03","0.80","3.86","3.71","14814","571656"
"Logan Webb","SFG","7.63","2.29","3.33","0.51","20.7%","6.2%","14.5%",".238","1.16",".293","71.8%","74","79","83","2.90","3.03","-0.13","3.31","3.56","17995","657277"
"Jeffrey Springs","TBR","9.58","2.06","4.65","0.93","26.2%","5.6%","20.6%",".221","1.07",".279","82.3%","66","79","83","2.46","3.04","-0.58","3.29","3.32","17677","605488"
"Nick Nelson","PHI","9.04","4.72","1.92","0.13","22.5%","11.8%","10.8%",".248","1.49",".332","65.0%","120","75","112","4.85","3.04","1.81","4.47","4.16","20153","656793"
"Zac Gallen","ARI","9.39","2.30","4.09","0.73","26.9%","6.6%","20.3%",".185","0.91",".237","78.0%","62","79","83","2.54","3.05","-0.50","3.31","3.32","19291","668678"
"Framber Valdez","HOU","8.67","3.00","2.90","0.49","23.5%","8.1%","15.4%",".222","1.16",".285","75.7%","73","78","76","2.82","3.06","-0.24","2.99","3.14","17295","664285"
"Joe Kelly","CHW","12.89","5.59","2.30","0.49","31.2%","13.5%","17.6%",".250","1.59",".382","60.8%","155","75","80","6.08","3.06","3.02","3.16","3.18","9761","523260"
"Andrew Chafin","DET","10.52","2.98","3.53","0.78","27.6%","7.8%","19.8%",".217","1.17",".289","69.8%","73","78","83","2.83","3.06","-0.23","3.27","2.97","12988","605177"
