Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Scott Effross","NYY",10.2,116.61714285714285,106.01897435897435,,,109.51315068493149,,96.48315789473683,,,110.68946341463416,129.926243902439,132.68039024390245,"Scott Effross",18384,664123
"Trevor Megill","MIL",47,117.86030701754386,,,,,,,144.72208754208756,,128.42537234042555,106.3266755319149,132.616994680851,"Trevor Megill",17722,656730
"Aroldis Chapman","BOS",61.1,81.81381720430107,124.40686468646871,,129.18388349514566,125.7427737226277,,,,,107.72594298245609,124.86844298245609,129.73627192982462,"Aroldis Chapman",10233,547973
"José Alvarado","PHI",26,117.58666666666666,113.2591724137931,109.24532374100716,,,129.51000000000002,,,,112.8895594713656,110.82533039647578,129.20814977973566,"Jose Alvarado",17780,621237
"Jacob Misiorowski","MIL",66,120.76234374999999,,,,117.58733850526153,127.35717647058824,80.01246376811594,,,118.5782322728121,104.17162908191828,128.82710813584626,"Jacob Misiorowski",31623,694819
"Griffin Jax","- - -",66,89.34174358974359,105.79102362204725,99.99181818181819,,116.98001961297072,147.66,112.1679508196721,,,109.16791893682421,116.61186711682706,126.62400709423969,"Griffin Jax",20253,643377
"Graham Ashcraft","CIN",65.1,,,116.73597864768682,,128.11468354430374,,,,,121.93509214354994,100.95150339476236,124.49291949563532,"Graham Ashcraft",27552,668933
"A.J. Puk","ARI",8,117.14474226804123,108.28,,,117.00586206896551,,,,,116.98050955414011,110.78802547770701,123.56891719745221,"A.J. Puk",19343,640462
"Hunter Greene","CIN",107.2,117.16255543822597,,,111.24755319148936,137.05724137931034,176.68,,,,123.54768789443486,101.97032702237522,123.49258749282842,"Hunter Greene",22182,668881
"Chris Martin","TEX",42.1,108.02964824120606,107.27759036144577,103.05938596491228,111.77876106194688,111.724,,,,,112.97635455680403,118.78439450686643,123.2011485642947,"Chris Martin",11847,455119
"Jeremiah Estrada","SDP",73,115.58133903133904,,,107.19630662020904,87.6212955465587,,,,,107.9727804878049,115.69248780487806,122.7101138211383,"Jeremiah Estrada",22210,669093
"Jhoan Duran","- - -",70,108.64333333333336,,,124.51939252336446,131.84709677419355,,,155.46213592233008,,125.33996345421212,97.30495876995086,122.64321576061533,"Jhoan Duran",21029,661395
"Edgardo Henriquez","LAD",19,137.9694871794872,131.85804878048782,122.82626865671645,,128.75384615384618,,,,,130.81913978494617,91.61354838709674,122.21534050179211,"Edgardo Henriquez",26944,683618
"Emmanuel Clase","CLE",47.1,,100.13,121.84609708737862,,122.8072321428571,,,,,121.8306702412869,101.96906166219841,122.18214477211795,"Emmanuel Clase",21032,661403
"Tyler Rogers","- - -",77.1,,126.97934156378601,,,130.63807228915664,,,,,127.89364646887498,105.31713803514322,122.02607685533602,"Tyler Rogers",15541,643511
"Reid Detmers","LAA",63.2,112.53954356846474,107.73891891891891,,,123.94753012048189,95.95519650655022,95.66,,,112.42230055658625,111.6150834879407,122.01675324675323,"Reid Detmers",27468,672282
"Aaron Ashby","MIL",66.2,91.09272727272729,119.0616061185468,,,156.7996002351558,124.96979122271901,119.61316666666667,,,122.75128138886625,102.69909726028999,121.27762575957266,"Aaron Ashby",23550,676879
"Chase Burns","CIN",43.1,109.15990950226247,109.66,,,127.38090566037737,103.99333333333334,95.09776515151516,,,114.5617385837696,105.99225276666775,120.59933682350776,"Chase Burns",35333,695505
"Isaiah Campbell","BOS",7.2,96.122,107.86,,,102.40740000000001,120.21230769230769,,,,102.52620253164557,113.91860759493666,120.1415189873418,"Isaiah Campbell",25551,663462
"Zack Wheeler","PHI",149.2,108.96705402650356,119.54309582309583,96.77388349514563,98.27056603773583,116.35039548022597,127.30145922746782,,,,111.6450397655923,107.29908748430299,119.70692339891174,"Zack Wheeler",10310,554430
"Orion Kerkering","PHI",60,109.0764383561644,112.65544041450777,,,134.11581056466298,,,,,121.74163620539606,103.74809399477807,119.69333333333343,"Orion Kerkering",31776,689147
"Jacob deGrom","TEX",172.2,104.84651704073151,,,,118.33802644964395,104.29413533834587,112.20474576271184,,,110.72691924990431,105.79580558744732,119.38315346345199,"Jacob deGrom",10954,594798
"Tarik Skubal","DET",195.1,113.38851367419736,110.49925925925928,,113.18,114.1666666666667,116.70810126582282,123.49472625698324,,,116.02188510491914,104.83583075335396,119.26732026143796,"Tarik Skubal",22267,669373
"Adrian Morejon","SDP",73.2,113.54967741935484,116.8037337662337,99.57028571428572,,130.339837398374,,122.23575757575755,,,119.70414342629485,102.226952191235,119.15872509960161,"Adrian Morejon",20039,670970
"Ryan Helsley","- - -",56,105.08867415730336,,106.54153846153847,,148.20480634386638,130.27894736842106,,,,127.35392588633401,94.95808600754863,119.07590096275267,"Ryan Helsley",18138,664854
"Robert Suarez","SDP",69.2,114.79003076923078,117.07113772455084,87.66,,,,105.82350194552528,,,112.91581308411213,107.34783177570091,118.3577009345794,"Robert Suarez",30115,663158
"Randy Rodríguez","SFG",50.2,121.83022321428568,,,,121.0433983286908,,,,,121.47999999999998,95.41796273291929,118.33850931677019,"Randy Rodriguez",23974,678495
"Spencer Schwellenbach","ATL",110.2,112.74820143884894,112.44089171974522,98.18090395480226,123.39100917431193,106.55597173144876,99.35633333333332,,,,109.90322087842142,109.0253723742839,117.98162953532784,"Spencer Schwellenbach",31846,680885
"Evan Phillips","LAD",5.2,107.0351724137931,106.73714285714286,90.41142857142857,,118.07510204081632,,,,,111.62760869565217,102.73782608695652,117.8519565217391,"Evan Phillips",17734,623465
"Shohei Ohtani","LAD",47,112.80062068965518,102.53592592592592,109.79879999999999,116.71885714285713,131.09019455252923,126.34303030303032,,,,119.48010624169987,98.90833997343961,117.82937583001332,"Shohei Ohtani",19755,660271
