Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Orion Kerkering","PHI",3,110.765,88.7,,,127.67725490196078,,,,,124.77266666666668,110.83466666666665,134.18633333333335,"Orion Kerkering",31776,689147
"Jonathan Loáisiga","NYY",17.2,96.9042857142857,136.96521212121212,,,,135.33529411764704,100.52260869565217,,,130.80228813559322,102.95000000000003,132.87864406779667,"Jonathan Loaisiga",19753,642528
"José Alvarado","PHI",41.1,,119.44784403669723,121.0783660130719,,,,,,,120.2082162162162,106.92859459459453,132.52391891891892,"Jose Alvarado",17780,621237
"Emmanuel Clase","CLE",72.2,120.676,,132.31571994715983,,136.6050420168067,,,,,133.47337488869098,97.1098308103295,129.13303650934992,"Emmanuel Clase",21032,661403
"Jacob deGrom","TEX",30.1,121.42468085106383,,,,129.82694610778444,149.53555555555556,103.53,,,123.50760000000002,105.50168888888889,128.96457777777775,"Jacob deGrom",10954,594798
"Félix Bautista","BAL",61,130.12306122448985,,,138.58754098360652,87.0076595744681,,,,,126.45608883405296,95.99822331893893,127.06370141887719,"Felix Bautista",20666,642585
"Guillo Zuñiga","STL",2,97.8,,,,157.03882352941176,,113.1,,,121.93162790697676,110.31534883720929,125.9860465116279,"Guillo Zuniga",19588,670871
"Tyler Rogers","SFG",74,,119.15130434782614,,,130.2609854014599,,,,,124.65235452103856,106.30347358997312,125.52723366159353,"Tyler Rogers",15541,643511
"Brusdar Graterol","LAD",67.1,83.57064893001736,134.59432098765424,98.06558326670621,,136.80725663716817,,,,,121.8402035489666,105.9961943471421,124.26122604591555,"Brusdar Graterol",20367,660813
"Ryan Helsley","STL",36.2,111.83108504398827,,,,142.66152466367714,127.54325581395351,,,,124.27064250411864,99.99775947281715,122.90968698517295,"Ryan Helsley",18138,664854
"Tanner Scott","MIA",78,117.00856643356643,,,,129.7954258675079,,,,,123.73865671641789,99.51930348258702,122.67412935323384,"Tanner Scott",17586,656945
"Yennier Cano","BAL",72.2,77.73235294117647,127.09864768683275,,,111.1514492753623,,95.0897872340426,,,114.25433628318584,109.11191740412983,122.07476892822024,"Yennier Cano",25911,666974
"Zack Wheeler","PHI",192,119.95252554744532,122.0953169014084,104.85474613686532,,113.0643927648579,115.85434903047091,76.09538461538462,,,116.6682170050761,106.34307741116756,121.9518908629442,"Zack Wheeler",10310,554430
"Griffin Jax","MIN",65.1,90.3716595744681,113.50985074626864,96.23200000000001,,122.99411978221414,,109.73096774193552,,,112.61982725527827,110.59078694817653,121.95072936660266,"Griffin Jax",20253,643377
"Blair Calvo","COL",1,,111.46,,,84.74,,,,,96.88545454545452,112.08000000000001,121.31454545454545,"Blair Calvo",25416,663971
"Jeffrey Springs","TBR",16,103.58309523809524,,,,106.63094339622643,,112.87239436619718,,,107.52419047619047,116.08923809523809,121.15219047619046,"Jeffrey Springs",17677,605488
"Jhoan Duran","MIN",62.1,115.22704595185995,,,132.84395683453235,,141.6998615916955,,,,130.2730721966206,92.92033794162825,121.08202764976957,"Jhoan Duran",21029,661395
