Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Blake Cederlind","PIT",4,,124.06341463414633,127.072,,96.28,,,,,124.77134328358207,119.64567164179107,138.02328358208953,"Blake Cederlind",20344,664977
"Jacob deGrom","NYM",68,117.43219607843136,,,,124.76179104477609,115.99,109.52645833333332,,,118.6139876215738,113.39681697612738,136.21814323607427,"Jacob deGrom",10954,594798
"Tommy Kahnle","NYY",1,96.43999999999998,,,,126.22,,115.26,,,109.22099999999998,125.021,133.776,"Tommy Kahnle",11384,592454
"Ryan Thompson","TBR",26.1,122.13157894736842,126.95133640552996,,,138.67577639751553,,85.7,,,130.71402393830726,105.12125328312206,130.359841690553,"Ryan Thompson",16647,657044
"Roberto Osuna","HOU",4.1,105.42,92.06,86.28666666666668,,110.21999999999998,,117.44800000000001,,,104.22145454545455,122.13636363636363,130.17345454545455,"Roberto Osuna",13764,532077
"José Ruiz","CHW",4,96.55657142857143,,,,109.93466666666667,141.99,110.76,,,106.43233333333335,122.29733333333337,128.703,"Jose Ruiz",14552,614179
"Walker Buehler","LAD",36.2,130.77256965944275,114.47384615384614,119.65858823529412,,137.98110236220475,,,121.44104166666666,,137.01741112123977,94.47744758432088,128.14072926162262,"Walker Buehler",19374,621111
"Gerrit Cole","NYY",73,119.14547468354434,108.09999999999998,,,125.36979729729734,,78.97253731343282,120.11388349514564,,118.57392678868554,107.7887853577371,124.9285856905158,"Gerrit Cole",13125,543037
"Bernardo Flores Jr.","CHW",2,84.05142857142857,96.84,,,107.66000000000001,128.9,88.48,,,97.91629629629631,135.21185185185186,124.88296296296294,"Bernardo Flores Jr.",19561,641576
"Raisel Iglesias","CIN",23,104.95739130434782,142.42000000000002,,,124.25495798319325,,105.1464864864865,,,114.4082816901408,112.76952112676058,123.79814084507038,"Raisel Iglesias",17130,628452
"Devin Williams","MIL",27,109.22687830687829,,,,113.96399999999998,,139.6603524229075,,,125.43925581395348,95.59618604651165,123.23590697674423,"Devin Williams",15816,642207
"Justin Topa","MIL",7.2,,101.57084337349397,,,135.75166666666667,,,,,111.91126050420168,116.74218487394957,123.19915966386552,"Justin Topa",15145,623437
"Caleb Baragar","SFG",22.1,122.3043846153846,105.65,,,110.11488372093022,94.60093023255813,86.62,,,117.17758732432804,108.90883476599811,123.04101957975165,"Caleb Baragar",19231,670056
"Justin Verlander","HOU",6,123.23999999999998,,,,110.08,113.54,97.06,,,116.53305555555555,104.33749999999999,122.86888888888888,"Justin Verlander",8700,434378
"Brusdar Graterol","LAD",23.1,94.57333333333332,125.31796954314723,,,128.2352380952381,,93.88,,,125.11106895064876,102.9654313825409,122.67654920099827,"Brusdar Graterol",20367,660813
"Liam Hendriks","OAK",25.1,116.73915384615384,,,,112.59146341463415,129.0676923076923,90.13,,,116.55451086956528,107.72396739130433,122.65429347826088,"Liam Hendriks",3548,521230
"Clayton Kershaw","LAD",58.1,109.75399449035812,,,,126.15243697478995,135.3065060240964,87.16,,,121.10308906426154,103.65740698985346,122.44372040586241,"Clayton Kershaw",2036,477132
"Sean Doolittle","WSN",7.2,110.73173076923075,,,94.76857142857145,115.85090909090908,113.06799999999998,,,,110.55728000000002,112.29072000000001,122.308,"Sean Doolittle",1581,448281
"Drew Pomeranz","SDP",18.2,111.10824902723733,,,,,,,128.74333333333334,,114.7117027863777,103.22755417956652,121.55498452012384,"Drew Pomeranz",11426,519141
"Luis Castillo","CIN",70,96.69801282051282,108.26859106529209,,,122.48009900990098,,116.17635838150291,,,110.00342311033884,109.6584882710686,121.13906168549093,"Luis Castillo",15689,622491
"Blake Treinen","LAD",25.2,95.13777777777779,116.15212669683257,109.89428571428573,,139.19884615384615,,,,,119.74496202531644,106.04739240506329,121.08860759493672,"Blake Treinen",12572,595014
"Kenley Jansen","LAD",24.1,,106.52346456692915,108.9990579710145,,108.7479069767442,,,,,108.2578426966292,115.08719101123594,120.64777528089884,"Kenley Jansen",3096,445276
"Caleb Ferguson","LAD",18.2,114.81684647302905,,140.73193548387098,,,,99.26,,,120.05098684210529,110.08743421052633,120.33559210526315,"Caleb Ferguson",19349,657571
"Patrick Murphy","TOR",6,,101.65612903225806,,,,131.60333333333332,,,,113.75019230769232,111.6244230769231,120.06,"Patrick Murphy",19712,641907
"Nathan Eovaldi","BOS",48.1,107.18163120567377,,115.42418604651164,124.82742857142858,119.39263157894737,112.81055118110238,,,,113.30404283801873,110.27831325301207,120.01697456492636,"Nathan Eovaldi",9132,543135
"Wandy Peralta","SFG",27.1,89.0009090909091,104.93777777777778,,,112.890987654321,,112.11490196078432,,,106.23586065573771,109.85233606557372,119.5971721311476,"Wandy Peralta",14295,593974
"Josh Sborz","LAD",4.1,101.29238095238095,107.72999999999999,,,133.32000000000002,,,,,113.38136363636364,110.55545454545455,119.47454545454546,"Josh Sborz",18323,622250
"Tim Hill","SDP",18,122.0972549019608,129.17925,,,108.912,,,,,124.02724137931034,101.41925287356322,119.19040229885059,"Tim Hill",16814,657612
"James Karinchak","CLE",27,108.42357446808512,,,,,131.43030042918457,,,,119.93506437768234,100.9563948497854,118.69459227467812,"James Karinchak",20151,675916
"John Means","BAL",43.2,111.8221025641026,,,,116.88077922077922,,105.24673913043479,126.16799999999999,,112.54593288590604,109.74912751677851,118.66641610738255,"John Means",16269,607644
"Burch Smith","OAK",12,108.36381818181819,,,,95.76,84.05272727272728,91.11200000000001,,,102.53058823529412,114.03895424836603,118.57581699346407,"Burch Smith",12784,572143
"Garrett Crochet","CHW",6,114.655,,,,159.57777777777778,,97.30000000000001,,,118.59482352941176,93.7670588235294,118.54870588235296,"Garrett Crochet",27463,676979
"Blake Snell","TBR",50,103.55000000000001,,,,120.8390909090909,105.12000000000002,81.8475294117647,,,102.20495391705072,113.1255529953917,118.35142857142854,"Blake Snell",13543,605483
"Brent Suter","MIL",31.2,114.43181571815717,102.93846153846152,,,,94.75405405405405,95.91098591549296,,,109.60372093023257,106.17775193798447,118.17976744186045,"Brent Suter",13942,608718
"Luke Bard","LAA",5.1,96.02555555555554,,,,111.5220512820513,,92.56,,,103.50025316455694,112.91164556962026,118.14683544303796,"Luke Bard",14288,572703
"Demarcus Evans","TEX",4,121.87666666666665,,114.06,,,127.4975,,,,123.25259259259258,97.35814814814815,117.80666666666666,"Demarcus Evans",21087,663770
"Clarke Schmidt","NYY",6.1,62.042222222222215,101.16829268292682,,,,,103.05454545454545,126.37787234042554,,102.35238095238095,113.76365079365078,117.7904761904762,"Clarke Schmidt",19899,657376
"Framber Valdez","HOU",70.2,91.81354838709679,102.39982728842831,,,,121.6782905982906,101.985,,,108.51098206323334,107.83764756031321,117.48677759035729,"Framber Valdez",17295,664285
"Aroldis Chapman","NYY",11.2,116.59083333333332,167.5222222222222,,208.24666666666667,138.9,,,,,125.09658291457286,93.95969849246231,117.42793969849247,"Aroldis Chapman",10233,547973
"Jeff Brigham","MIA",1,96.76,,,,116.74,,,,,103.11727272727272,113.1590909090909,117.27272727272727,"Jeff Brigham",16631,656257
"Jonathan Loáisiga","NYY",23,114.64690476190476,124.65010309278352,,,,124.44521739130434,106.18666666666668,,,117.62708873096447,104.07581725888322,117.2712911675127,"Jonathan Loaisiga",19753,642528
"Pete Fairbanks","TBR",26.2,104.04227758007116,,,,136.93869999999998,,91.24800000000002,,,117.31661445118588,100.94922108843535,117.01102380952379,"Pete Fairbanks",17998,664126
"Tyler Glasnow","TBR",57.1,111.93312714776633,,,,,112.01414925373133,84.88727272727273,,,110.69889698231009,98.86632674297606,116.7963995837669,"Tyler Glasnow",14374,607192
"Dustin May","LAD",56,128.36791666666667,110.77788764044945,113.97925233644858,,,141.62260869565216,91.9968181818182,,,118.97438801591973,101.8482520239299,116.77592368689842,"Dustin May",19716,669160
"Phil Maton","CLE",21.2,104.54215909090908,91.77333333333333,86.48898305084745,,131.09,123.96441558441556,,,,102.7928912466843,112.8787798408488,116.61395225464199,"Phil Maton",18064,664208
"Domingo Tapia","BOS",4.1,129.17466666666667,99.13757575757576,,,138.11866666666666,,129.14,,,118.46049999999998,103.2165,116.59,"Domingo Tapia",12178,593619
"Alex McRae","CHW",3,78.41714285714286,88.62,,,,96.06400000000001,81.8,,,85.92727272727274,126.26121212121214,116.52242424242424,"Alex McRae",16317,656725
"Chaz Roe","TBR",9.1,83.63777777777779,97.354375,95.86959999999999,,127.03440860215056,,,,,113.7045283018868,96.31874213836478,116.44025157232704,"Chaz Roe",9866,475054
"Elieser Hernández","MIA",25.2,99.48196226415094,,,,140.4306918238994,,84.7925925925926,,,113.05721238938052,106.67438053097347,116.33694690265486,"Elieser Hernandez",16933,622694
"Sam Coonrod","SFG",14.2,118.81382716049384,121.55462365591397,116.99684210526316,,112.53900000000003,111.62285714285714,108.125,,,116.51810810810812,98.30391891891891,116.25641891891894,"Sam Coonrod",17264,656322
"Brandon Woodruff","MIL",73.2,120.73942583732058,106.76350404312667,,,118.20534351145037,106.1005128205128,101.96924528301886,,,111.95563275434242,107.5521753515302,115.97114971050459,"Brandon Woodruff",16162,605540
