Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Emmanuel Clase","CLE",69.2,96.97,,130.2971784232365,,166.82748387096774,,,,,140.9306346153846,99.7889423076923,138.15215384615377,"Emmanuel Clase",21032,661403
"Jacob deGrom","NYM",92,113.69485795454544,,,,141.5155990220049,131.42000000000002,112.02917431192661,,,122.92360065466451,109.63998363338789,134.5028805237316,"Jacob deGrom",10954,594798
"Jonathan Loáisiga","NYY",70.2,128.07380952380953,138.60969798657715,,,127.58846153846154,121.8163800904977,105.70519999999996,,,128.4838667900093,104.04891766882517,131.46201665124886,"Jonathan Loaisiga",19753,642528
"Liam Hendriks","CHW",71,115.93776609724041,,,,126.7348085106383,143.16728971962618,126,,,120.86511796733213,112.64194192377492,130.45299455535388,"Liam Hendriks",3548,521230
"Dustin May","LAD",23,123.12434782608696,122.87124999999999,108.54575757575758,,,163.63824175824178,,,,132.9262445414847,103.3632751091703,128.76170305676857,"Dustin May",19716,669160
"Corbin Burnes","MIL",167,109.42102564102564,90.36527196652719,133.59246312684368,,137.3422794117647,141.5929302325581,95.57068273092369,,,131.96897946859912,98.6076207729468,128.12878019323668,"Corbin Burnes",19361,669203
"Brusdar Graterol","LAD",33.1,101.605,135.10363636363635,107.52102564102563,,133.1865853658536,,,,,131.57233716475102,103.26088122605366,127.53570881226048,"Brusdar Graterol",20367,660813
"Blake Treinen","LAD",72.1,104.95341463414633,122.7904,113.22176829268288,,141.94083550913837,,97.96,,,125.30799632352947,105.29845588235293,126.82132352941181,"Blake Treinen",12572,595014
"Ryan Thompson","TBR",34,133.06108108108106,128.47102040816327,112.64608695652174,,141.70815217391305,,110.88333333333333,,,133.2621161825726,102.98219917012449,126.74053941908716,"Ryan Thompson",16647,657044
"Raisel Iglesias","LAA",70,103.08681081081082,124.41960784313729,,,130.271135734072,,109.5554022988506,,,117.85917596566509,113.3554334763949,126.39869527897,"Raisel Iglesias",17130,628452
"Dan Altavilla","SDP",1.1,120.43454545454543,,,,119.87272727272726,,,,,120.15363636363637,121.41090909090909,124.61181818181818,"Dan Altavilla",16507,656186
"Justin Topa","MIL",3.1,,101.86758620689656,,,122.55428571428573,,,,,108.37363636363635,125.01795454545453,124.06431818181817,"Justin Topa",15145,623437
"Gerrit Cole","NYY",181.1,125.97227142857142,133.87333333333333,,,126.64215805471122,,83.06152019002377,115.10537634408603,,118.3818267610381,105.42058645096058,123.49520053926521,"Gerrit Cole",13125,543037
"Josh Hader","MIL",58.2,75.12,127.46266452648472,,,128.29641791044776,,99.01753846153846,,,125.5217427385892,100.15948132780083,123.38336099585067,"Josh Hader",14212,623352
"Adrian Morejon","SDP",4.2,107.71862068965518,109.25142857142858,,,157.055,108.64923076923077,129.06153846153845,,,114.20725000000002,109.68875,123.3285,"Adrian Morejon",20039,670970
"Tyler Rogers","SFG",81,107.72399999999998,135.74445923460905,,,128.92016597510377,,,,,131.5870337477797,98.16772646536408,122.75799289520428,"Tyler Rogers",15541,643511
"Kenley Jansen","LAD",69,,119.92093862815881,129.66985691573933,,134.4666666666666,,,,,127.97810328638494,95.70991549295769,121.4927323943662,"Kenley Jansen",3096,445276
"Michael Kopech","CHW",69.1,118.86845730027551,,,,120.67365269461075,100.69128205128206,99.04758620689655,,,118.28913936585258,104.81063216240773,121.44076367203901,"Michael Kopech",17282,656629
"Chaz Roe","TBR",0.2,,95.87999999999998,,,125.36,,,,,111.26086956521739,103.97391304347826,121.38869565217392,"Chaz Roe",9866,475054
"Zack Wheeler","PHI",213.1,122.76747608535688,133.0521843003413,109.81098626716604,,,117.58011695906436,79.53655172413792,,,119.22072281583903,103.29936517913261,120.62827781269635,"Zack Wheeler",10310,554430
"Yimi García","- - -",57.2,103.88520325203253,111.74440677966102,,,111.4231765258216,106.70720930232558,94.04333333333334,,,106.53673635353101,110.94226733717313,120.40884793499492,"Yimi Garcia",12095,554340
"Andrew Kittredge","TBR",71.2,90.76999999999998,110.49805555555552,,,112.12121259055431,,78.88666666666667,,,109.04844363526642,112.01958967360869,120.32966830559496,"Andrew Kittredge",12828,552640
"Seranthony Domínguez","PHI",1,99.74,101.96,,,141.9,,,,,112.10285714285715,109.34857142857143,120.13428571428571,"Seranthony Dominguez",19249,622554
"Garrett Whitlock","BOS",73.1,116.24439999999998,119.06751203852328,129.02,,104.29723404255321,,115.2264135021097,,,115.57310822510824,106.91123809523808,119.84290909090907,"Garrett Whitlock",20191,676477
"Taylor Rogers","MIN",40.1,,108.89999999999999,,,134.4295930232558,,,,,122.54009404388717,106.32598746081503,119.84003134796245,"Taylor Rogers",13449,573124
"JoJo Romero","PHI",9,85.25133333333332,107.18042553191488,137.43,,114.0463157894737,,115.57600000000001,,,103.73625730994154,117.52947368421049,119.74619883040936,"JoJo Romero",19574,668941
"Paul Sewald","SEA",64.2,128.10897515527947,,,,112.1658387799564,,40.42,,,121.36614687216681,101.05256572982773,119.63960108794203,"Paul Sewald",13892,623149
"Aaron Ashby","MIL",31.2,90.645,104.08745762711867,,,129.81557500891614,96.7647619047619,125.64730434782608,,,118.10174897765863,105.84195272412727,119.40291630634465,"Aaron Ashby",23550,676879
"Edwin Díaz","NYM",62.2,110.26660162601627,112.49666666666666,,,132.96679045092839,,,,,118.88171198388719,100.26471299093654,119.14499496475324,"Edwin Diaz",14710,621242
"Gabe Speier","KCR",7.2,86.7223076923077,110.44894736842105,,,102.56315789473686,,92.42,,,101.20476190476191,114.79619047619046,118.8855238095238,"Gabe Speier",17170,642100
"Anthony Gose","CLE",6.2,128.03761904761907,,,,138.56709677419354,,,,,130.876,92.70991304347827,118.79756521739131,"Anthony Gose",5097,543238
"Drew Pomeranz","SDP",25.2,108.83154320987656,,,,,,,119.43358490566034,,111.44506976744186,104.16893023255811,118.63139534883723,"Drew Pomeranz",11426,519141
"Ryan Pressly","HOU",64,94.97291005291005,93.64,,,127.13917888563047,134.75203463203468,,,,116.1441386554621,103.67046218487393,118.59758403361344,"Ryan Pressly",7005,519151
"Keone Kela","SDP",10.2,86.46897196261682,,,,,109.68063829787236,111,,,97.36128712871287,123.23613861386139,118.36752475247528,"Keone Kela",14696,605309
"Julio Urías","LAD",185.2,109.00004454342984,137.53,,,,133.7191728525981,107.42902691511388,,,117.18657018813319,105.64235166425463,118.18645441389287,"Julio Urias",14765,628711
"Evan Phillips","- - -",13.1,91.27809523809523,96.89,86.86,,123.84363636363638,,114.59166666666665,,,108.32631147540984,114.52180327868854,117.97934426229509,"Evan Phillips",17734,623465
"Nick Sandlin","CLE",33.2,118.88413043478259,107.57161290322584,,87.55230769230769,116.32664285714284,,,,,112.88926910299003,106.59830564784055,117.8297342192691,"Nick Sandlin",20517,680704
"Tyler Wells","BAL",57,114.15286259541985,,114.68663900414936,,,109.01277777777777,100.21010752688173,,,112.62329596412559,107.62946188340801,117.65695067264572,"Tyler Wells",20000,669330
"Camilo Doval","SFG",27,98.05333333333334,,98.28655737704918,,138.41916666666668,,,,,121.65128318584075,96.8400442477876,117.55008849557524,"Camilo Doval",21992,666808
"Shane Baz","TBR",13.1,115.55037037037037,,,,114.33142857142857,108.76918918918919,65.58545454545455,,,111.24878787878787,104.41222222222221,117.50979797979795,"Shane Baz",22264,669358
"Devin Williams","MIL",54,99.26261627906977,,,,108.5657142857143,,132.8454574132492,,,120.81348133198787,95.83031281533809,117.48371342078707,"Devin Williams",15816,642207
"Tyler Glasnow","TBR",88,112.17299565846601,,,,107.43740139211133,156.41049723756905,87.60823529411766,,,116.0139221556886,97.94417664670655,117.32519461077841,"Tyler Glasnow",14374,607192
"Scott Effross","CHC",14.2,87.42954545454546,116.53517241379312,,,118.60913043478259,,109.98090909090911,,,112.78192439862543,111.01402061855667,117.27443298969075,"Scott Effross",18384,664123
"David Robertson","TBR",12,91.2,,114.91071895424837,,110.27157894736841,,,137.15142857142857,,118.11538461538466,100.08846153846153,117.23336538461538,"David Robertson",8241,502085
"Pete Fairbanks","TBR",42.2,114.43331838565022,,,,127.83963190184049,,93.28,,,120.02524547803621,98.038165374677,116.96596899224814,"Pete Fairbanks",17998,664126
"Brandon Woodruff","MIL",179.1,115.96318901795141,101.01739014647139,,,111.06543933054394,114.73723991507434,103.73301507537685,,,109.60747315676453,109.450586972083,116.64924123120973,"Brandon Woodruff",16162,605540
"Sam Coonrod","PHI",42.1,129.88719424460436,117.29634464751955,99.78,,120.23534167741936,100.62,116.88379310344831,,,120.28062570640245,98.9143327405093,116.61581610265273,"Sam Coonrod",17264,656322
"Sandy Alcantara","MIA",205.2,96.6474850299401,118.55935926773456,,,112.08675675675676,94.09518987341772,113.53629120879123,,,110.4635359116022,105.02252193695162,116.49582710432253,"Sandy Alcantara",18684,645261
"Caleb Thielbar","MIN",64,106.40719557195574,,,,122.2519893899204,129.78255555555552,127.79333333333334,,,115.69927206551408,103.82587807097363,116.04720655141041,"Caleb Thielbar",10078,573204
"Jeurys Familia","NYM",59.1,91.39619047619047,118.61425249169433,,99.91733333333333,106.38309623430963,,,,,111.26923686818631,104.35236868186327,115.78035678889994,"Jeurys Familia",5114,544727
"Gregory Santos","SFG",2,93.03454545454547,92.96000000000001,,,125.336,,,,,111.55807692307692,101.67923076923078,115.67076923076922,"Gregory Santos",21894,666619
"Tim Hill","SDP",59.2,117.52020833333331,119.05162650602412,88.8,,101.59791666666666,,103.63,,,115.60113564668778,103.20792849631965,115.64639327024182,"Tim Hill",16814,657612
"Jorge Alcala","MIN",59.2,93.577125382263,117.9966037735849,,,123.0770056497175,,98.07481481481481,,,107.78896313364055,107.05596774193542,115.57115207373272,"Jorge Alcala",19459,660896
"Chad Green","NYY",83.2,112.89466042154564,118.54000000000002,,,115.99021276595747,105.60669683257923,,,,112.18321401370898,105.88169078446306,115.3730693069307,"Chad Green",15552,643338
"Dylan Lee","ATL",2,102.05333333333334,,,,114.13555555555556,,87.42249999999999,,,101.76689655172413,118.6496551724138,115.3055172413793,"Dylan Lee",19996,669276
"Scott Alexander","LAD",15.1,,108.57656249999998,,,120.65822222222224,,86.5390909090909,,,108.7720472440945,106.21976377952757,115.1567716535433,"Scott Alexander",10591,518397
"Aroldis Chapman","NYY",56.1,101.63204225352112,176.70596491228068,,145.51729729729726,114.10992481203012,,,,,114.10878,99.93317999999998,114.77076000000002,"Aroldis Chapman",10233,547973
"John Means","BAL",146.2,102.47198924731183,,,,107.43255102040817,85.98,114.17041009463726,118.278908045977,,108.71568289530374,108.1640758293839,114.7662128392934,"John Means",16269,607644
"Jordan Romano","TOR",63,120.79361370716511,124.15,,,120.18432717678101,,,,,120.5965597667638,93.20769679300294,114.29414965986396,"Jordan Romano",16122,605447
"Daniel Hudson","- - -",51.2,113.5124406779661,151.06,,,116.80112449799195,,92.73666666666668,,,113.96950289017344,100.03549132947978,114.08658959537571,"Daniel Hudson",7146,543339
"Nathan Eovaldi","BOS",182.1,104.7352465642684,,104.25021739130432,125.30474393530997,111.7788528678304,111.2974087591241,,,,109.49177960301166,106.70655715263516,113.81062286105406,"Nathan Eovaldi",9132,543135
"Shane McClanahan","TBR",123.1,94.90951188986233,,,,127.33868065967017,127.3710703363914,95.15528662420382,,,111.47461262185737,102.48791174961521,113.63107234479219,"Shane McClanahan",21483,663556
"Andrew Vasquez","LAD",1.2,,117.02666666666666,,,130.35166666666666,,,,,128.8711111111111,97.7637037037037,113.45407407407409,"Andrew Vasquez",19482,607755
"Clayton Kershaw","LAD",121.2,102.76246987951806,,,,124.88072345390903,119.48382352941177,88.07454545454544,,,115.76840289371175,95.44129104062324,113.31711741791875,"Clayton Kershaw",2036,477132
"Joe Smith","- - -",39.2,98.99207792207791,126.36544747081712,,,117.87584698760814,,123.93999999999998,,,116.97943673938,103.79926337543056,113.26535407577498,"Joe Smith",3281,501925
"Luis García","STL",33.1,94.41666666666667,113.85264604810997,,119.41423728813562,130.98805555555558,,,,,119.20211576846307,97.61121756487023,113.05261477045903,"Luis Garcia",6984,472610
"Josh Fleming","TBR",104.1,93.59,115.49761073825503,91.37195454545456,,,102.30597402597404,95.70289693593314,,,103.86651623692612,108.7231317924581,112.98134400152716,"Josh Fleming",20418,676596
"Aaron Loup","NYM",56.2,,124.18439814814816,101.01759124087592,,,103.07563636363636,124.66888888888886,,,115.26375313761872,102.58157202274846,112.7866738210436,"Aaron Loup",10343,571901
"Ben Rowen","LAA",11.1,71.304,83.93098901098901,,,120.5521568627451,,,,,102.47757575757576,118.65353535353537,112.70353535353534,"Ben Rowen",10983,594985
"Brandon Dickson","STL",2,84.8,73.79454545454546,,,102.57857142857142,,93.06,,,88.68857142857142,122.99942857142855,112.4777142857143,"Brandon Dickson",6979,505447
"Ryan Yarbrough","TBR",155,86.2950153846154,94.21052631578947,108.01668008048289,,,123.82124080088265,86.44835007173602,,,106.74130384526258,109.7941238431558,112.47037205872387,"Ryan Yarbrough",16502,642232
"Heath Hembree","- - -",58,102.20305263157894,,,,117.64810456310681,137.852,,,,109.66709166583865,102.5670011371289,112.37836675167533,"Heath Hembree",11632,592390
"Aaron Bummer","CHW",56.1,,106.44115059221662,110.90243243243245,,167.54234042553188,,99.62666666666667,,,124.86469473684207,93.19490526315788,112.11686315789468,"Aaron Bummer",16258,607481
"Tim Mayza","TOR",53,104.86,108.45710482529117,,,105.31661157024791,,,,,107.52773809523812,104.39319047619057,112.01685714285713,"Tim Mayza",15042,641835
"Dylan Coleman","KCR",6.1,101.6375,108.65,,,142.03720930232558,,,,,117.70366972477062,96.46532110091742,111.93100917431192,"Dylan Coleman",22276,669395
"Adam Cimber","- - -",71.2,117.31987915407852,123.62536986301369,,,110.3318884272883,,,,,117.43572367004164,99.66722892362459,111.81937410241014,"Adam Cimber",15288,643256
"Brent Suter","MIL",73.1,108.35032842582103,96.74075471698112,,,94.93657219973012,97.7660606060606,84.51637931034485,,,103.7773551993995,106.84923350173774,111.80741024127735,"Brent Suter",13942,608718
"Craig Kimbrel","- - -",59.2,117.03128205128206,,,,,,,123.02748129675811,,119.32762973928777,95.16208395016038,111.68129574800555,"Craig Kimbrel",6655,518886
"Carlos Rodón","CHW",132.2,105.27443932411676,,,,132.6558540630182,89.37105263157896,98.79614545454545,,,111.6596838301716,100.33672990063232,111.65219512195121,"Carlos Rodon",16137,607074
"Garrett Crochet","CHW",54.1,98.9252218430034,,,,132.2790588235294,,84.9833333333333,,,107.19806805708012,102.56302963776069,111.29530186608122,"Garrett Crochet",27463,676979
"Dylan Floro","MIA",64,113.27848942598187,119.2353179190751,,,99.32023668639054,,90.72550387596898,,,108.65402298850574,104.22196286472142,111.28192749778952,"Dylan Floro",13394,571670
"Lucas Sims","CIN",47,105.4870238095238,,,,122.89259786476866,114.31794871794874,73.57333333333334,,,113.43576354679803,101.1825615763547,111.2750492610837,"Lucas Sims",13470,608371
"Walker Buehler","LAD",207.2,111.39150606709495,94.94914529914529,109.11038610038608,,133.2787214611872,,97.84198675496688,110.35048076923077,,112.09000638569604,100.42976372924649,111.24006385696038,"Walker Buehler",19374,621111
"Frankie Montas","OAK",187,105.52112707182319,104.3289173457509,113.87139013452916,127.52106508875737,110.0947802197802,,,,,111.24968511766649,101.87162081537952,111.14346702021876,"Frankie Montas",14309,593423
"Clay Holmes","- - -",70,71.68,115.47072507552869,,,119.25708593750001,112.17961216088875,,,,116.00650205699249,95.9607886672404,111.0362466907212,"Clay Holmes",13649,605280
"Max Fried","ATL",165.2,99.65083076923075,104.29882352941178,,,107.65526881720433,114.71301684532924,96.81054545454542,,,105.68847457627118,106.4154355538038,110.62711076074102,"Max Fried",13743,608331
"David Bednar","PIT",60.2,105.47113243761997,,,103.75025906735755,,104.32354545454542,,,,104.84522483940039,107.5547323340471,110.61573875803,"David Bednar",19569,670280
"A.J. Puk","OAK",13.1,94.37081632653062,98.60666666666665,,,112.4486567164179,132.50333333333333,89.0909090909091,,,101.17999999999999,106.56107883817428,110.60680497925313,"A.J. Puk",19343,640462
"Lucas Luetge","NYY",72.1,93,,98.00984575835473,,96.71836531627578,164.87206349206352,,,,107.8648742369928,97.75512341633012,110.46625869551734,"Lucas Luetge",8337,476595
"Luis Castillo","CIN",187.2,102.41113082039915,106.61745989304815,,,118.04670329670328,,109.01199170124482,,,108.13131679389316,102.07896310432565,110.44137404580151,"Luis Castillo",15689,622491
"Joe Kelly","LAD",44,108.52981818181819,107.24825531914894,,,,,113.52399999999997,120.09048859934853,,113.92689170182838,97.09949367088606,110.36382559774965,"Joe Kelly",9761,523260
"Jeffrey Springs","TBR",44.2,115.26812698412698,,,,99.41280000000003,,100.108995215311,,,106.3256836461126,104.42638069705096,110.33168900804291,"Jeffrey Springs",17677,605488
