Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Wander Suero","HOU",0,,,115.9,,,,,,,115.9,136.14,157.51999999999998,"Wander Suero",15855,593833
"Jacob deGrom","TEX",10.2,115.18708860759494,,,,119.41922077922075,107.252,100.19000000000001,,,115.98374269005848,113.45461988304092,131.4156725146199,"Jacob deGrom",10954,594798
"Griffin Jax","MIN",71,92.55172413793102,116.44361904761907,,,115.58365914786968,134.0987878787879,114.17078651685397,,,109.60176194939088,120.01448922211806,129.09900656044985,"Griffin Jax",20253,643377
"Emmanuel Clase","CLE",74.1,92.26333333333332,95.915,125.35105882352936,,142.82158415841585,,,,,127.97877016129033,101.45633064516129,128.2095967741936,"Emmanuel Clase",21032,661403
"Jonathan Loáisiga","NYY",4,123.7,143.15756097560973,,,,121.27111111111111,105.55799999999999,,,133.44557377049182,95.432131147541,125.90852459016392,"Jonathan Loaisiga",19753,642528
"Brusdar Graterol","LAD",7.1,82.41,131.32097560975612,94.14166666666667,,126.70258064516128,,,,,117.76237623762377,107.49168316831683,124.0037623762376,"Brusdar Graterol",20367,660813
"Seth Halvorsen","COL",12.1,104.22151515151515,119.26647058823531,,99.6516,143.19357142857146,,,,,113.77114285714286,111.4044761904762,123.95961904761903,"Seth Halvorsen",33294,678020
"Andrew Wantz","LAA",1.1,82.14,89.36,99.88,,139.7,,,,,104.70342857142857,113.71657142857144,123.7845714285714,"Andrew Wantz",24933,681806
"Adrian Morejon","SDP",63.2,114.63266129032262,118.81911227154049,,143.58567901234565,132.78896551724142,,,,,124.34494806421155,104.3191879131256,123.7637960339943,"Adrian Morejon",20039,670970
"Daniel Duarte","MIN",4,97.87142857142858,95.71999999999998,92.33272727272727,,139.321,,93.105,,,110.79071428571426,113.49607142857143,123.33250000000001,"Daniel Duarte",17480,650960
