pitcher,start_year,end_year,emd_whitened_sliced,n_pitches_year1,n_pitches_year2,y1_velo_CH,y1_hb_CH,y1_vb_CH,y2_velo_CH,y2_hb_CH,y2_vb_CH,y1_velo_CS,y1_hb_CS,y1_vb_CS,y2_velo_CS,y2_hb_CS,y2_vb_CS,y1_velo_CU,y1_hb_CU,y1_vb_CU,y2_velo_CU,y2_hb_CU,y2_vb_CU,y1_velo_EP,y1_hb_EP,y1_vb_EP,y2_velo_EP,y2_hb_EP,y2_vb_EP,y1_velo_FA,y1_hb_FA,y1_vb_FA,y2_velo_FA,y2_hb_FA,y2_vb_FA,y1_velo_FC,y1_hb_FC,y1_vb_FC,y2_velo_FC,y2_hb_FC,y2_vb_FC,y1_velo_FF,y1_hb_FF,y1_vb_FF,y2_velo_FF,y2_hb_FF,y2_vb_FF,y1_velo_FO,y1_hb_FO,y1_vb_FO,y2_velo_FO,y2_hb_FO,y2_vb_FO,y1_velo_FS,y1_hb_FS,y1_vb_FS,y2_velo_FS,y2_hb_FS,y2_vb_FS,y1_velo_KC,y1_hb_KC,y1_vb_KC,y2_velo_KC,y2_hb_KC,y2_vb_KC,y1_velo_KN,y1_hb_KN,y1_vb_KN,y2_velo_KN,y2_hb_KN,y2_vb_KN,y1_velo_PO,y1_hb_PO,y1_vb_PO,y2_velo_PO,y2_hb_PO,y2_vb_PO,y1_velo_SC,y1_hb_SC,y1_vb_SC,y2_velo_SC,y2_hb_SC,y2_vb_SC,y1_velo_SI,y1_hb_SI,y1_vb_SI,y2_velo_SI,y2_hb_SI,y2_vb_SI,y1_velo_SL,y1_hb_SL,y1_vb_SL,y2_velo_SL,y2_hb_SL,y2_vb_SL,y1_velo_ST,y1_hb_ST,y1_vb_ST,y2_velo_ST,y2_hb_ST,y2_vb_ST,y1_velo_SV,y1_hb_SV,y1_vb_SV,y2_velo_SV,y2_hb_SV,y2_vb_SV,y1_velo_UN,y1_hb_UN,y1_vb_UN,y2_velo_UN,y2_hb_UN,y2_vb_UN,team_y1,siera_y1,team_y2,siera_y2,team_stuff_y1,stuff+_y1,location+_y1,pitching+_y1,team_stuff_y2,stuff+_y2,location+_y2,pitching+_y2,diff_siera,diff_stuff+,diff_location+,diff_pitching+
A.J. Alexy,2021,2022,0.6198936121035963,424,152,85.78701298701299,7.88051948051948,11.81038961038961,88.30000000000001,10.399999999999999,10.207692307692307,,,,,,,76.17058823529412,-9.585294117647058,-17.170588235294115,78.66499999999999,-7.284999999999999,-16.525,,,,,,,,,,,,,,,,,,,93.31255411255411,4.216450216450217,19.223809523809525,94.2164705882353,6.785882352941176,18.214117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.89634146341463,-7.739024390243903,-1.7109756097560977,83.87058823529412,-5.252941176470588,0.5441176470588235,,,,,,,,,,,,,,,,,,,TEX,6.56,TEX,6.71,TEX,91.62839622641508,85.82283018867923,83.18462264150942,TEX,89.94701986754967,61.99417218543047,54.80794701986756,0.15000000000000036,-1.681376358865407,-23.828658003248762,-28.37667562164186
A.J. Cole,2017,2018,0.4756840933437331,944,871,86.09047619047618,11.076190476190476,9.465079365079365,86.4608695652174,16.52608695652174,8.052173913043477,,,,,,,79.74578313253012,-6.651807228915663,2.6771084337349396,79.47954545454546,-3.465340909090909,-0.2505681818181818,,,,,,,,,,,,,87.0,-6.7,12.1,,,,93.16022988505746,9.361379310344827,17.300689655172413,94.00219780219781,7.582967032967033,16.423626373626373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.91219512195123,13.054878048780488,13.353658536585366,92.42946428571429,13.716964285714285,13.079464285714286,85.20101522842639,-3.410152284263959,10.61725888324873,84.35846560846561,-1.0489417989417988,5.579100529100529,,,,,,,,,,,,,,,,,,,WSN,5.12,- - -,3.73,,,,,,,,,-1.3900000000000001,,,
A.J. Cole,2018,2019,0.2945505669489885,871,481,86.4608695652174,16.52608695652174,8.052173913043477,86.47,15.7,11.43,,,,,,,79.47954545454546,-3.465340909090909,-0.2505681818181818,78.82941176470588,-4.867647058823529,-1.0,,,,,,,,,,,,,,,,,,,94.00219780219781,7.582967032967033,16.423626373626373,94.36111111111111,8.407407407407407,17.081944444444442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.42946428571429,13.716964285714285,13.079464285714286,,,,84.35846560846561,-1.0489417989417988,5.579100529100529,83.81402714932128,-1.5891402714932126,5.395475113122172,,,,,,,,,,,,,,,,,,,- - -,3.73,CLE,3.93,,,,,,,,,0.20000000000000018,,,
A.J. Cole,2019,2020,0.31515288081758985,481,390,86.47,15.7,11.43,86.28064516129032,17.374193548387098,8.54516129032258,,,,,,,78.82941176470588,-4.867647058823529,-1.0,78.27000000000001,-5.75,-0.99,,,,,,,,,,,,,,,,88.59736842105262,2.265789473684211,11.289473684210526,94.36111111111111,8.407407407407407,17.081944444444442,93.39179104477611,8.33134328358209,17.13955223880597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.81402714932128,-1.5891402714932126,5.395475113122172,83.49209039548023,-1.6966101694915254,5.758757062146892,,,,,,,,,,,,,,,,,,,CLE,3.93,TOR,4.63,,,,,TOR,97.59393316195376,104.49840616966576,104.1700257069409,0.6999999999999997,,,
A.J. Cole,2020,2021,0.41837000073048003,390,114,86.28064516129032,17.374193548387098,8.54516129032258,87.575,16.15,11.475,,,,,,,78.27000000000001,-5.75,-0.99,78.23076923076923,-5.153846153846154,-3.4000000000000004,,,,,,,,,,,,,88.59736842105262,2.265789473684211,11.289473684210526,89.64999999999999,0.2636363636363636,10.377272727272727,93.39179104477611,8.33134328358209,17.13955223880597,93.80833333333334,7.352083333333333,18.035416666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.49209039548023,-1.6966101694915254,5.758757062146892,84.77777777777777,-1.6111111111111112,5.207407407407407,,,,,,,,,,,,,,,,,,,TOR,4.63,TOR,3.9,TOR,97.59393316195376,104.49840616966576,104.1700257069409,TOR,94.28495575221238,100.98761061946902,94.01646017699116,-0.73,-3.3089774097413738,-3.5107955501967325,-10.153565529949745
A.J. Minter,2017,2018,0.46211989611368137,247,1003,,,,86.23125,-13.125,-0.40937500000000004,,,,,,,,,,,,,,,,,,,,,,,,,89.98333333333333,5.5616666666666665,6.151666666666667,91.64938271604937,4.02119341563786,7.120987654320988,96.06062992125985,-6.109448818897637,17.182677165354328,96.5779381443299,-7.095257731958762,15.844123711340206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,1.45,ATL,3.4,,,,,,,,,1.95,,,
A.J. Minter,2018,2019,0.4595214345857038,1003,588,86.23125,-13.125,-0.40937500000000004,86.06,-13.785263157894736,3.790526315789474,,,,,,,,,,,,,,,,,,,,,,,,,91.64938271604937,4.02119341563786,7.120987654320988,91.5095785440613,3.2582375478927204,7.871647509578544,96.5779381443299,-7.095257731958762,15.844123711340206,95.95695652173913,-6.788260869565217,16.213478260869564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,-11.9,10.8,,,,86.3,4.8,6.4,,,,,,,,,,,,,,,,,,,ATL,3.4,ATL,5.12,,,,,,,,,1.7200000000000002,,,
A.J. Minter,2019,2020,0.4046840828014601,588,397,86.06,-13.785263157894736,3.790526315789474,85.35270270270271,-15.639189189189189,2.9567567567567568,,,,,,,,,,,,,,,,,,,,,,,,,91.5095785440613,3.2582375478927204,7.871647509578544,87.91775147928995,4.446745562130178,3.908284023668639,95.95695652173913,-6.788260869565217,16.213478260869564,95.5116883116883,-7.9935064935064934,16.81233766233766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,-11.9,10.8,,,,86.3,4.8,6.4,,,,,,,,,,,,,,,,,,,,,,ATL,5.12,ATL,3.74,,,,,ATL,118.4456565656566,99.93888888888888,114.5781818181818,-1.38,,,
A.J. Minter,2020,2021,0.4392667233545967,397,876,85.35270270270271,-15.639189189189189,2.9567567567567568,87.2059829059829,-16.588034188034186,3.0914529914529916,,,,,,,,,,,,,,,,,,,,,,,,,87.91775147928995,4.446745562130178,3.908284023668639,88.97364341085272,5.130490956072351,3.941343669250646,95.5116883116883,-7.9935064935064934,16.81233766233766,96.09193548387096,-6.260215053763441,16.656182795698925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,3.74,ATL,3.69,ATL,118.4456565656566,99.93888888888888,114.5781818181818,ATL,119.23898966704934,92.4436739380023,108.99380022962109,-0.050000000000000266,0.7933331013927329,-7.495214950886577,-5.584381588560717
A.J. Minter,2021,2022,0.31169125454292423,876,1111,87.2059829059829,-16.588034188034186,3.0914529914529916,87.58507462686566,-16.197512437810943,3.3890547263681596,,,,,,,,,,,,,,,,,,,,,,,,,88.97364341085272,5.130490956072351,3.941343669250646,90.34733893557423,5.126330532212885,4.227170868347339,96.09193548387096,-6.260215053763441,16.656182795698925,96.623869801085,-6.470343580470162,17.299638336347197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,3.69,ATL,2.13,ATL,119.23898966704934,92.4436739380023,108.99380022962109,ATL,121.1943270099368,100.88771454381204,119.94027100271008,-1.56,1.9553373428874607,8.444040605809732,10.94647077308899
